Year of Breach,Company Name,Total Records,Type of Organization,Type of Breach
2008,GS Caltex,11100000,energy,INSD
2008,Stanford University,72000,EDU,STAT
2008,UK Home Office,84000,GOV,STAT
2008,UK Ministry of Defence,1700000,GOV,STAT
2008,University of Miami,2100000,EDU,STAT
2008,University of Utah Hospital & Clinics,2200000,EDU,STAT
2008,Starbucks,97000,BSR,STAT
2008,Ministry of Education (Chile),6000000,GOV,DISC
2008,Service Personnel and Veterans Agency (UK),50500,GOV,STAT
2008,The Bank of New York Mellon,12500000,BSF,STAT
2008,"Jefferson County, West Virginia",1600000,GOV,DISC
2008,Norwegian Tax Administration,3950000,GOV,DISC
2008,RBS Worldpay,1500000,BSF,HACK
2008,AT&T,113000,telecoms,STAT
2008,"Data Processors International (MasterCard, Visa, Discover Financial Services and American Express)",8000000,BSF,HACK
2008,Auction.co.kr,18000000,BSR,HACK
2009,"AvMed, Inc.",1220000,MED,STAT
2009,RockYou!,32000000,"BSR, gaming",HACK
2009,"University of California, Berkeley",160000,EDU,HACK
2009,Virginia Prescription Monitoring Program,531400,MED,HACK
2009,Virginia Department of Health,8257378,"GOV, MED",HACK
2009,National Guard of the United States,131000,military,STAT
2009,Heartland,130000000,BSF,HACK
2009,Health Net,500000,MED,STAT
2009,Network Solutions,573000,tech,HACK
2009,U.S. Department of Defense,72000,military,STAT
2009,National Archives and Records Administration (U.S. military veterans records),76000000,military,STAT
2009,BlueCross BlueShield of Tennessee,1023209,MED,STAT
2009,CheckFree Corporation,5000000,BSF,HACK
2010,Ohio State University,760000,EDU,HACK
2010,Lincoln Medical & Mental Health Center,130495,MED,STAT
2010,"South Shore Hospital, Massachusetts",800000,MED,STAT
2010,Educational Credit Management Corporation,3300000,BSF,STAT
2010,Embassy Cables,251000,GOV,INSD
2010,"Emergency Healthcare Physicians, Ltd.",180111,MED,STAT
2010,Federal Reserve Bank of Cleveland,400000,BSF,HACK
2010,Gawker,1500000,BSR,HACK
2010,Puerto Rico Department of Health,515000,MED,HACK
2010,"Seacoast Radiology, PA",231400,MED,HACK
2010,U.S. Army(classified Iraq War documents),392000,GOV,INSD
2010,Colorado government,105470,MED,STAT
2010,New York City Health & Hospitals Corp.,1700000,MED,STAT
2010,"Triple-S Salud, Inc.",398000,MED,STAT
2010,Yale University,43000,EDU,DISC
2010,Betfair,2300000,BSR,HACK
