,Year of Breach,Company Name,Total Records
36,2010,Gawker,1500000
79,2011,Stratfor,935000
97,2012,Dropbox,68648009
98,2012,Gamigo,8000000
116,2013,Vodafone,2000000
120,2013,Tumblr,65469298
156,2015,Patreon,2300000
160,2015,VTech,5000000
12,2018,Family& social services administration,1
17,2018,Prudential insurance companyof america,1
26,2018,Indiana bureauof motor vehicles,1
30,2018,Prudential insurance companyof america,1
45,2018,IDEM,1
46,2018,Healthand hospital corporationof marion county,1
47,2018,Indiana bureauof motor vehicles,1
49,2018,One main financial,1
51,2018,Healthand hospital corporationof marion county,1
52,2018,Healthand hospital corporationof marion county,1
53,2018,Healthand hospital corporationof marion county,1
55,2018,Baptist health medical group,1
57,2018,Exam one,1
58,2018,Indiana bureauof motor vehicles,1
63,2018,Indiana university,1
67,2018,Indiana bureauof motor vehicles,1
68,2018,Franciscan physician network,1
116,2017,Gourmesso,1
119,2018,Franciscan health indianapolis,2
126,2018,Exam one,2
128,2014,CareFirst BlueCross BlueShield,2
130,2014,Seterus,2
148,2018,Indiana bureauof motor vehicles,3
151,2014,Experian,3
159,2017,State of indiana,4
166,2014,Experian,4
174,2018,Indianapolis neighborhood housing partnership,5
191,2018,Healthand hospital corporationof marion county,7
212,2014,Experian,9
235,2017,Community health network,11
293,2014,Central City Concern,15
294,2014,Central City Concern,15
306,2014,USAA,16
335,2018,Franciscan health indianapolis,19
337,2014,Experian,19
362,2018,Indiana university,22
375,2014,Experian,23
403,2014,Primerica,27
408,2011,"Thirty-One Gifts, LLC",28
448,2018,Healthand hospital corporationof marion county,32
468,2018,Ascensus inc,36
501,2007,Montana State University,42
595,2010,H&R Block,60
631,2010,Private Legal Practice,75
637,2018,Balasa Dinverno Foltz LLC,76
687,2018,Indiana university health inc,92
688,2014,Backcountry Gear,92
699,2006,Columbia University,98
715,2011,McDonald's,100
752,2009,University of Florida,101
771,2007,Purdue University,111
791,2007,Cornell University,122
887,2007,Purdue University,175
903,2011,McDonald's,185
973,2007,Montana State University,216
985,2018,First merchants bank,223
1016,2007,Nationwide Mutual Insurance,246
1123,2018,First merchants bank,315
1146,2017,State of indiana,348
1226,2006,City University of New York,445
1336,2012,Titus Regional Medical Center (TRMC),500
1349,2017,Nevro,500
1372,2016,San Juan Oncology Associates,500
1373,2016,Phoenix Dental Care,500
1374,2016,Family Medicine of Weston,500
1381,2015,National Pain Institute,500
1393,2011,Knox Community Hospital,500
1395,2010,Rockbridge Area Community Services,500
1430,2015,"ST Psychotherapy, LLC",509
1434,2012,Georgia Health Sciences University,513
1452,2011,Henry Ford Health System,520
1466,2016,Glendale Adventist Medical Center,528
1479,2013,Rocky Mountain Spine Clinic,532
1502,2016,Northwest Community Healthcare,540
1507,2012,"Original Medicine Acupuncture & Wellness, LLC",540
1512,2010,Kings County Hospital Center,542
1518,2011,Jefferson Center for Mental Health,546
1579,2018,Indiana departmentof workforce development,568
1588,2015,Advance Rehabilitation & Consulting LTD,570
1594,2016,Henry County Health Department,574
1601,2016,Riverside Health System,578
1602,2010,WESTMED Medical Group,578
1603,2013,Santa Clara Valley Medical Center,579
1616,2010,LoneStar Audiology Group,585
1656,2011,Private Medical Practice,600
1670,2016,Texas Health and Human Services Commission,600
1676,2010,Tomah Memorial Hospital,600
1679,2006,University of Minnesota,603
1681,2016,"Vancouver Radiologists, PC",603
1687,2013,Rose Medical Center,606
1696,2016,Managed Health Services,610
1697,2013,Mount Sinai Medical Center,610
1707,2010,Albert Einstein Healthcare Network,613
1710,2012,Brigham and Women's Hospital,615
1732,2016,Willow Bend Dental,625
1733,2010,Montefiore Medical Center,625
1735,2016,CVS Health,626
1740,2013,Mount Sinai Medical Center,628
1749,2015,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",630
1767,2012,"First Step Counseling, Inc.",638
1790,2016,Lake Pulmonary Critical Care PA,648
1804,2011,Medcenter One,650
1807,2013,"Colorado Health & Wellness, Inc.",651
1816,2013,Atlanta Center for Reproductive Medicine,654
1818,2011,Texas Health Arlington Memorial Hospital,654
1824,2014,Susquehanna Health,657
1825,2010,"Beauty Dental, Inc.",657
1835,2017,Multnomah Athletic Club,661
1838,2015,Summit Financial Group,662
1850,2016,Group Health,668
1860,2006,Liberty Mutual Insurance Company,672
1877,2016,UHHS Geauga Medical Center,677
1892,2012,Landmark Medical Center,683
1898,2015,Aventura Hospital and Medical Center,686
1925,2012,Lakeview Medical Center,698
1942,2016,Waiting Room Solutions Limited Liability Limited Partnership,700
1944,2013,Valley Mental Health,700
1968,2012,St. Joseph's Medical Center,712
1975,2016,Midland Women's Clinic,717
1976,2012,University of Florida,719
1979,2016,Target Corporation Health Plan,719
1983,2017,Kaiser Foundation Health Plan,720
1995,2016,Vibrant Body Wellness,726
2001,2012,"CardioNet, Inc.",728
2005,2017,WellSpan Health,732
2010,2007,The Horace Mann Companies,737
2013,2015,Fidelis Care,738
2019,2016,County of Los Angeles,743
2020,2016,County of Los Angeles,743
2022,2017,Kaleida Health,744
2025,2012,Physician's Automated Laboratory,745
2039,2012,IntraCare North Hospital,750
2051,2011,Indiana University School of Optometry,757
2070,2012,Foundation Medical Partners,771
2071,2012,Foundation Medical Partners,771
2072,2010,Memorial Hospital of Gardena,771
2075,2016,"Lindsay House Surgery Center, LLC",773
2078,2016,Ventura County Health Care Agency,777
2089,2016,The University of Texas System Administration,794
2090,2014,"HealthPartners Administrators, Inc.",796
2117,2014,Emdeon,800
2119,2012,Sierra Plastic Surgery,800
2129,2017,MetroPlus Health Plan,808
2138,2016,"Heritage Medical Partners, LLC",812
2142,2011,Capron Rescue Squad District,815
2146,2013,Hope Hospice,818
2155,2012,Wolf & Yun,824
2156,2012,Charlie Norwood VA Medical Center,824
2176,2010,Northridge Hospital Medical Center,837
2192,2012,Muskogee Regional Medical Center,844
2219,2015,California Pacific Medical Center,858
2253,2012,Advanced Clinical Research Institute,875
2261,2012,Memorial Sloan-Kettering Cancer Center,880
2263,2016,Walgreen Co.,880
2278,2016,Vidant Health,897
2294,2013,"South Florida Neurology Associates, P.A.",900
2308,2013,Dermatology Associates of Tallahassee,915
2309,2013,Dermatology Associates of Tallahassee,916
2319,2012,Independence Physical Therapy,925
2321,2011,Morris Heights Health Center,927
2322,2010,Private Medical Practice,928
2330,2011,Union Security Insurance Company,935
2331,2011,Union Security Insurance Company,935
2347,2015,Middlesex Hospital,946
2353,2013,Texas Health Presbyterian Dallas Hospital,949
2356,2011,Chase Bank,950
2359,2011,New River Health Association,950
2368,2017,Vertiv Co. Health & Welfare Plan,955
2370,2012,CVS Caremark,955
2371,2010,Pediatric Sports and Spine Associates,955
2375,2010,Griffin Hospital,957
2383,2013,Broward Health Medical Center,960
2385,2012,SHIELDS For Families,961
2391,2010,St. James Hospital and Health Centers,967
2396,2016,Edwin Shaw Rehabilitation,975
2458,2011,Private Dental Practice,1000
2475,2016,McLaren Greater Lansing Cardiovascular Group,1000
2476,2016,Martin Army Community Hospital,1000
2494,2010,Hospital Auxilio Mutuo,1000
2496,2010,SunBridge Healthcare Corporation,1000
2518,2013,Sierra View District Hospital,1009
2522,2013,Group Health Cooperative,1015
2541,2016,"Quarles & Brady, LLP",1032
2542,2013,California Correctional Health Care Services,1033
2544,2013,Redwood Memorial Hospital,1039
2546,2015,Sentara Heart Hospital,1040
2556,2016,Washington DC VA Medical Center,1062
2561,2013,BriovaRx,1067
2568,2006,University of Delaware,1076
2570,2016,Florida Department of Health,1076
2573,2018,Principal life insurance company- security breach,1077
2606,2007,University of Iowa,1100
2612,2012,Vidant Pungo Hospital,1100
2615,2016,"Health Incent, LLC",1100
2620,2012,Vidant Pungo Hospital,1100
2639,2013,Oregon Health & Science University,1114
2653,2006,Columbia University,1132
2676,2016,JASACare,1154
2681,2013,Genesis Rehabilitation Services,1167
2687,2014,St. Francis Hospital,1175
2692,2014,"PracMan, Inc.",1179
2699,2019,Fairfield Medical Center,1182
2700,2012,Robley Rex VA Medical Center,1182
2703,2016,The Carle Foundation,1185
2727,2010,Private Medical Practice,1200
2735,2013,Regional Medical Center,1200
2746,2011,Treatment Services Northwest,1200
2754,2017,UPMC Susquehanna,1208
2756,2019,Humana Inc,1211
2758,2016,Kern County Mental Health,1212
2761,2011,Fairview Health Services,1215
2763,2013,Union Security Insurance Company,1217
2785,2011,Franciscan Medical Group,1250
2789,2018,OneMain Financial,1253
2815,2015,Diana S. Guth DBA Home Respiratory Care,1285
2818,2012,"Medco Health Solutions, Inc.",1287
2820,2011,University of Missouri Health Care,1288
2831,2010,Utah Department of Workforce Services,1300
2835,2006,University of Kentucky,1300
2842,2012,"CardioNet, Inc.",1300
2854,2013,UHS-Pruitt Corporation,1300
2857,2010,Carle Clinic Association,1300
2866,2010,Wright State Physicians,1309
2877,2014,Albertina Kerr Centers,1320
2880,2016,"Premier Family Care I, Inc.",1326
2890,2015,Sharon J. Jones M.D.,1342
2895,2016,Public Education Employees' Health Insurance Plan,1349
2896,2016,Freeport Memorial Hospital,1349
2899,2016,"Heart Center of Southern Maryland, L.L.P.",1350
2907,2015,HealthSouth Rehabilitation Hospital of Round Rock,1359
2909,2013,Comprehensive Podiatry LLC,1360
2912,2013,Oregon Health & Science University,1361
2913,2010,The Kent Center,1361
2922,2012,Duke University Health System,1370
2929,2013,Sonoma Valley Hospital,1386
2930,2011,Indiana Regional Medical Center,1388
2933,2013,Hancock OB/GYN,1396
2943,2007,Montana State University,1400
2949,2013,University of Connecticut Health Center,1400
2964,2013,Jackson Health System,1407
2974,2017,Houston Methodist Hospital,1417
2983,2008,Texas A&M University,1430
2998,2016,PathGroup,1443
3011,2016,KidsPeace,1456
3014,2016,Elite Imaging,1457
3022,2016,Peabody Retirement Community,1466
3027,2013,Jackson Health System,1471
3029,2011,Conway Regional Medical Center,1472
3043,2014,Tri Lakes Medical Center,1489
3067,2012,Kern Medical Center,1500
3074,2016,Jennie Stuart Medical Center,1500
3084,2012,SwedishAmerican Health System,1500
3086,2011,Methodist Charlton Medical Center,1500
3099,2014,"StayWell Health Management, LLC",1511
3106,2015,Blue Cross Blue Shield of North Carolina,1530
3114,2012,Georgetown University Hospital,1549
