,Company Name,Year of Breach,Date Made Public,Data Loss,Total Records
0,000webhost,2015-03-01,2015-10-26T23:35:45Z,,13545468
1,17Media,2016-04-19,2016-07-08T01:55:03Z,,4009640
2,AcneOrg,2014-11-25,2016-03-06T11:07:41Z,,432943
3,Adobe,2013-10-04,2013-12-04T00:00:00Z,,152445165
4,AdultFriendFinder,2015-05-21,2015-05-22T06:03:44Z,,3867997
5,AhaShare,2013-05-30,2014-11-06T21:47:52Z,,180468
6,AndroidForums,2011-10-30,2015-12-20T06:47:19Z,,745355
7,AshleyMadison,2015-07-19,2015-08-18T20:55:05Z,,30811934
8,AstroPID,2013-12-19,2014-07-06T03:49:45Z,,5788
9,Avast,2014-05-26,2016-03-12T22:08:58Z,,422959
10,Badoo,2013-06-01,2016-07-06T08:16:03Z,,112005531
11,BattlefieldHeroes,2011-06-26,2014-01-23T13:10:29Z,,530270
12,BeautifulPeople,2015-11-11,2016-04-25T10:05:34Z,,1100089
13,Bell,2014-02-01,2014-02-01T23:57:10Z,Credit cardsGendersPasswordsUsernames,20902
14,BigMoneyJobs,2014-04-03,2014-04-08T05:44:10Z,,36789
15,BTSec,2014-01-09,2014-09-10T20:30:11Z,,4789599
16,BitTorrent,2016-01-01,2016-06-08T10:49:24Z,,34235
17,BlackHatWorld,2014-06-23,2015-11-03T22:20:17Z,,777387
18,Boxee,2014-03-29,2014-03-30T13:07:16Z,,158093
19,BusinessAcumen,2014-04-25,2014-05-11T04:25:48Z,,26596
20,CannabisForum,2014-02-05,2014-06-01T07:55:24Z,,227746
21,Comcast,2015-11-08,2016-02-08T21:41:43Z,,616882
22,COMELEC,2016-03-27,2016-04-14T02:24:32Z,Biometric dataDates of birthEmail addressesFamily members' names,228605
23,CrackCommunity,2013-09-09,2015-02-03T06:30:05Z,,19210
24,Dominos,2014-06-13,2015-01-04T03:03:34Z,,648231
25,Dropbox,2012-07-01,2016-08-31T00:19:19Z,,68648009
26,DDO,2013-04-02,2016-03-12T10:59:56Z,,1580933
27,FFShrine,2015-09-18,2015-10-31T12:43:58Z,,620677
28,Flashback,2015-02-11,2015-02-12T05:42:12Z,,40256
29,Fling,2011-03-10,2016-05-28T23:08:07Z,,40767652
30,Forbes,2014-02-15,2014-02-15T11:24:42Z,,1057819
31,FoxyBingo,2008-04-04,2015-11-22T01:05:05Z,,252216
32,Fridae,2014-05-02,2014-05-06T02:48:35Z,,35368
33,FurAffinity,2016-05-17,2016-05-27T09:36:18Z,,1270564
34,GamerzPlanet,2015-10-23,2016-02-05T20:12:26Z,,1217166
35,Gamigo,2012-03-01,2016-01-18T16:26:24Z,,8243604
36,Gawker,2010-12-11,2013-12-04T00:00:00Z,,1247574
37,GTAGaming,2016-08-01,2016-08-23T20:41:17Z,,197184
38,HackForums,2011-06-25,2014-05-11T10:30:43Z,,191540
39,HackingTeam,2015-07-06,2015-07-12T23:52:27Z,,32310
40,Hemmakvall,2015-07-08,2015-07-09T09:23:52Z,,47297
41,Hemmelig,2011-12-21,2014-03-25T07:23:52Z,,28641
42,HeroesOfNewerth,2012-12-17,2016-01-24T16:27:23Z,,8089103
43,iMesh,2013-09-22,2016-07-02T05:42:13Z,,49467477
44,Insanelyi,2014-07-22,2014-07-22T22:56:15Z,,104097
45,Interpals,2015-11-04,2016-08-30T11:22:42Z,,3439414
46,iPmart,2015-07-01,2016-02-23T10:13:22Z,,2460787
47,KMRU,2016-02-29,2016-03-03T06:12:04Z,,1476783
48,Lifeboat,2016-01-01,2016-04-25T21:51:50Z,,7089395
49,LinkedIn,2012-05-05,2016-05-21T21:35:40Z,,164611595
50,LinuxMint,2016-02-21,2016-02-22T01:28:08Z,,144989
51,LizardSquad,2015-01-16,2015-01-18T01:24:24Z,,13451
52,LOTR,2013-08-01,2016-03-12T12:46:03Z,,1141278
53,LoungeBoard,2013-08-01,2014-07-06T10:22:01Z,,45018
54,Mac-Torrents,2015-10-31,2015-10-31T23:54:26Z,,93992
55,MailRu,2014-09-10,2014-09-12T04:50:22Z,,4821262
56,MajorGeeks,2015-11-15,2016-03-03T02:45:09Z,,269548
57,Malwarebytes,2014-11-15,2016-03-09T11:15:43Z,,111623
58,MangaTraders,2014-10-06,2014-06-10T03:49:45Z,,855249
59,Mate1,2016-02-29,2016-04-14T23:37:15Z,,27393015
60,MinecraftPocketEditionForum,2015-05-24,2015-06-30T09:19:43Z,,16034
61,MinecraftWorldMap,2016-01-15,2016-08-29T01:07:38Z,,71081
62,Minefield,2015-06-28,2016-03-09T08:18:43Z,,188343
63,MoneyBookers,2009-01-01,2015-11-30T09:21:55Z,,4483605
64,MPGH,2015-10-22,2015-10-26T03:20:20Z,,3122898
65,mSpy,2015-05-14,2015-05-28T18:09:16Z,,699793
66,MuslimDirectory,2014-02-17,2014-02-23T03:09:38Z,Age groupsEmail addressesEmployersNames,37784
67,MuslimMatch,2016-06-24,2016-06-29T19:08:15Z,,149830
68,myRepoSpace,2015-07-06,2015-07-08T08:44:51Z,,252751
69,MySpace,2008-07-01,2016-05-31T00:12:29Z,,359420698
70,MyVidster,2015-08-15,2015-10-10T07:06:17Z,,19863
71,NaughtyAmerica,2016-03-14,2016-04-24T06:14:42Z,,1398630
72,Neopets,2013-05-05,2016-07-07T23:00:10Z,,26892897
73,Neteller,2010-05-17,2015-11-30T10:26:47Z,,3619948
74,NextGenUpdate,2014-04-22,2015-06-05T04:12:29Z,,1194597
