,Year of Breach,Company Name,Total Records,Type of Organization,Type of Breach
0,2008,GS Caltex,11100000,energy,INSD
1,2008,Stanford University,72000,EDU,STAT
2,2008,UK Home Office,84000,GOV,STAT
3,2008,UK Ministry of Defence,1700000,GOV,STAT
4,2008,University of Miami,2100000,EDU,STAT
5,2008,University of Utah Hospital & Clinics,2200000,EDU,STAT
6,2008,Starbucks,97000,BSR,STAT
7,2008,Ministry of Education (Chile),6000000,GOV,DISC
8,2008,Service Personnel and Veterans Agency (UK),50500,GOV,STAT
9,2008,The Bank of New York Mellon,12500000,BSF,STAT
10,2008,"Jefferson County, West Virginia",1600000,GOV,DISC
11,2008,Norwegian Tax Administration,3950000,GOV,DISC
12,2008,RBS Worldpay,1500000,BSF,HACK
13,2008,AT&T,113000,telecoms,STAT
14,2008,"Data Processors International (MasterCard, Visa, Discover Financial Services and American Express)",8000000,BSF,HACK
15,2008,Auction.co.kr,18000000,BSR,HACK
16,2009,"AvMed, Inc.",1220000,MED,STAT
17,2009,RockYou!,32000000,"BSR, gaming",HACK
18,2009,"University of California, Berkeley",160000,EDU,HACK
19,2009,Virginia Prescription Monitoring Program,531400,MED,HACK
20,2009,Virginia Department of Health,8257378,"GOV, MED",HACK
21,2009,National Guard of the United States,131000,military,STAT
22,2009,Heartland,130000000,BSF,HACK
23,2009,Health Net,500000,MED,STAT
24,2009,Network Solutions,573000,tech,HACK
25,2009,U.S. Department of Defense,72000,military,STAT
26,2009,National Archives and Records Administration (U.S. military veterans records),76000000,military,STAT
27,2009,BlueCross BlueShield of Tennessee,1023209,MED,STAT
28,2009,CheckFree Corporation,5000000,BSF,HACK
29,2010,Ohio State University,760000,EDU,HACK
30,2010,Lincoln Medical & Mental Health Center,130495,MED,STAT
31,2010,"South Shore Hospital, Massachusetts",800000,MED,STAT
32,2010,Educational Credit Management Corporation,3300000,BSF,STAT
33,2010,Embassy Cables,251000,GOV,INSD
34,2010,"Emergency Healthcare Physicians, Ltd.",180111,MED,STAT
35,2010,Federal Reserve Bank of Cleveland,400000,BSF,HACK
36,2010,Gawker,1500000,BSR,HACK
37,2010,Puerto Rico Department of Health,515000,MED,HACK
38,2010,"Seacoast Radiology, PA",231400,MED,HACK
39,2010,U.S. Army(classified Iraq War documents),392000,GOV,INSD
40,2010,Colorado government,105470,MED,STAT
41,2010,New York City Health & Hospitals Corp.,1700000,MED,STAT
42,2010,"Triple-S Salud, Inc.",398000,MED,STAT
43,2010,Yale University,43000,EDU,DISC
44,2010,Betfair,2300000,BSR,HACK
45,2010,AT&T,114000,telecoms,HACK
46,2010,U.S. government (United States diplomatic cables leak),260000,military,INSD
47,2010,JP Morgan Chase,2600000,BSF,STAT
48,2011,San Francisco Public Utilities Commission,180000,GOV,HACK
49,2011,Massachusetts Government,210000,GOV,HACK
50,2011,Memorial Healthcare System,102153,MED,STAT
51,2011,Restaurant Depot,200000,BSR,HACK
52,2011,NHS,8300000,MED,STAT
53,2011,Morgan Stanley Smith Barney,34000,BSF,STAT
54,2011,Honda Canada,283000,BSR,HACK
55,2011,Health Net — IBM,1900000,MED,STAT
56,2011,Nexon Korea Corp,13200000,BSR,HACK
57,2011,Nemours Foundation,1055489,MED,STAT
58,2011,Spartanburg Regional Healthcare System,400000,MED,STAT
59,2011,Sony Online Entertainment,24600000,gaming,HACK
60,2011,University of Wisconsin–Milwaukee,73000,EDU,HACK
61,2011,Tricare,4901432,"military, MED",STAT
62,2011,China Software Developer Network,6000000,BSR,HACK
63,2011,"Chinese gaming websites (three: Duowan, 7K7K, 178.com)",10000000,BSR,HACK
64,2011,Citigroup,360083,BSF,HACK
65,2011,Tianya Club,28000000,BSR,HACK
66,2011,Sega,1290755,gaming,HACK
67,2011,U.S. law enforcement (70 different agencies),123461,GOV,DISC
68,2011,Washington Post,1270000,media,HACK
69,2011,Countrywide Financial Corp,2500000,BSF,INSD
70,2011,U.S. Army,50000,military,DISC
71,2011,Sutter Medical Center,4243434,MED,STAT
72,2011,Steam,35000000,BSR,HACK
73,2011,Writerspace.com,62000,BSR,HACK
