Date,Close
2008-01-02,37.34
2008-01-03,35.06
2008-01-04,34.29
2008-01-07,35.07
2008-01-08,34.23
2008-01-09,33.75
2008-01-10,34.52
2008-01-11,33.7
2008-01-14,33.31
2008-01-15,33.01
2008-01-16,33.24
2008-01-17,33.34
2008-01-18,33.71
2008-01-22,34.07
2008-01-23,35.45
2008-01-24,34.99
2008-01-25,34.28
2008-01-28,34.45
2008-01-29,34.72
2008-01-30,34.32
2008-01-31,35.04
2008-02-01,36.32
2008-02-04,35.45
2008-02-05,34.95
2008-02-06,34.52
2008-02-07,34.74
2008-02-08,35.08
2008-02-11,35.91
2008-02-12,36.24
2008-02-13,36.2
2008-02-14,35.53
2008-02-15,35.47
2008-02-19,35.42
2008-02-20,36
2008-02-21,36.44
2008-02-22,37.41
2008-02-25,37.37
2008-02-26,37.75
2008-02-27,37.41
2008-02-28,37.14
2008-02-29,36.51
2008-03-03,36.45
2008-03-04,36.87
2008-03-05,36.28
2008-03-06,35.64
2008-03-07,35.53
2008-03-10,35.07
2008-03-11,36.36
2008-03-12,36.46
2008-03-13,36.53
2008-03-14,35.96
2008-03-17,35.74
2008-03-18,36.85
2008-03-19,36.38
2008-03-20,36.78
2008-03-24,38.61
2008-03-25,38.01
2008-03-26,37.96
2008-03-27,37.26
2008-03-28,37.43
2008-03-31,38.09
2008-04-01,38.93
2008-04-02,38.14
2008-04-03,38.19
2008-04-04,37.9
2008-04-07,38.05
2008-04-08,37.62
2008-04-09,36.91
2008-04-10,36.62
2008-04-11,36.08
2008-04-14,35.44
2008-04-15,35.62
2008-04-16,35.78
2008-04-17,35.73
2008-04-18,35.96
2008-04-21,35.79
2008-04-22,35.27
2008-04-23,35.67
2008-04-24,35.82
2008-04-25,35.49
2008-04-28,35.48
2008-04-29,35.61
2008-04-30,34.85
2008-05-01,35.69
2008-05-02,35.28
2008-05-05,35.4
2008-05-06,35.39
2008-05-07,35.34
2008-05-08,35.17
2008-05-09,34.99
2008-05-12,35.5
2008-05-13,35.46
2008-05-14,36.1
2008-05-15,36.56
2008-05-16,36.37
2008-05-19,36.18
2008-05-20,36.08
2008-05-21,35.28
2008-05-22,35.68
2008-05-23,35.09
2008-05-27,35.64
2008-05-28,35.58
2008-05-29,36.03
2008-05-30,36.02
2008-06-02,36.11
2008-06-03,36.34
2008-06-04,36.34
2008-06-05,36.7
2008-06-06,35.53
2008-06-09,35.62
2008-06-10,35.7
2008-06-11,35.32
2008-06-12,35.45
2008-06-13,36.26
2008-06-16,36.25
2008-06-17,35.73
2008-06-18,35.13
2008-06-19,35.44
2008-06-20,35.07
2008-06-23,34.7
2008-06-24,33.99
2008-06-25,33.95
2008-06-26,32.88
2008-06-27,32.97
2008-06-30,32.51
2008-07-01,32.43
2008-07-02,31.39
2008-07-03,31.45
2008-07-07,31.7
2008-07-08,31.89
2008-07-09,32.09
2008-07-10,33.29
2008-07-11,32.72
2008-07-14,32.5
2008-07-15,32.33
2008-07-16,33.51
2008-07-17,34.31
2008-07-18,34.18
2008-07-21,33.84
2008-07-22,34.39
2008-07-23,34.68
2008-07-24,33.78
2008-07-25,33.56
2008-07-28,33.18
2008-07-29,33.84
2008-07-30,34.15
2008-07-31,34.34
2008-08-01,33.93
2008-08-04,34.34
2008-08-05,35.47
2008-08-06,35.81
2008-08-07,35.24
2008-08-08,36.55
2008-08-11,36.72
2008-08-12,37.1
2008-08-13,36.91
2008-08-14,37.16
2008-08-15,37.27
2008-08-18,37.12
2008-08-19,36.39
2008-08-20,35.83
2008-08-21,36.23
2008-08-22,36.47
2008-08-25,35.56
2008-08-26,35.58
2008-08-27,35.28
2008-08-28,36.52
2008-08-29,36.43
2008-09-02,36
2008-09-03,35.92
2008-09-04,34.94
2008-09-05,34.59
2008-09-08,36
2008-09-09,35.23
2008-09-10,35.75
2008-09-11,36.67
2008-09-12,36.07
2008-09-15,34.27
2008-09-16,33.48
2008-09-17,31.96
2008-09-18,32.84
2008-09-19,32.96
2008-09-22,31.76
2008-09-23,31.35
2008-09-24,31.62
2008-09-25,32.13
2008-09-26,32.73
2008-09-29,31
2008-09-30,30.96
2008-10-01,29.74
2008-10-02,29.12
2008-10-03,27.96
2008-10-06,27.54
2008-10-07,26.74
2008-10-08,26.18
2008-10-09,25.28
2008-10-10,23.22
2008-10-13,24.59
2008-10-14,23.26
2008-10-15,21.91
2008-10-16,23.51
2008-10-17,23.3
2008-10-20,24.62
2008-10-21,24.35
2008-10-22,23.36
2008-10-23,23.33
2008-10-24,22.59
2008-10-27,21.4
2008-10-28,24.96
2008-10-29,23.74
