,Unnamed: 0,Year of Breach,Company Name,Total Records
6440,6701,2016,21st Century Oncology,2200000
173,45,2010,AT&T,114000
3566,3529,2009,AT&T,2100
460,153,2014,AT&T,3
1272,997,2012,Adobe,230
5113,5263,2017,Aetna,12000
4625,4710,2010,Aetna,6372
5931,6161,2009,Aetna,65000
5401,5577,2016,Aetna Inc.,18854
3672,3648,2010,"Aetna, Inc.",2345
6299,6555,2010,Affinity Health Plan,409262
2195,1986,2015,"Affinity Health Plan, Inc.",721
6274,6528,2010,"Affinity Health Plan, Inc.",344579
4602,4684,2015,Aflac,6166
2495,2325,2016,Aflac,930
1560,1289,2017,Aflac,500
3196,3124,2007,Alabama Department of Public Health,1554
4168,4196,2013,Allina Health,3800
5347,5516,2006,Allina Hospitals and Clinics,17000
4583,4663,2019,AltaMed Health Services Corporation,6000
2877,2753,2016,Alton Lane,1208
1440,1168,2007,American Airlines,365
4714,4816,2016,"American Family Care, Inc.",7200
6534,6800,2015,Anthem,80000000
5651,5855,2011,Anthem Blue Cross,31125
5394,5570,2017,"Anthem, Inc.",18580
5885,6112,2008,Aon Consulting,57160
1666,1403,2013,Arizona Oncology,501
3131,3049,2005,Austin Peay State University,1500
6403,6663,2010,"AvMed, Inc.",1220000
2516,2349,2014,Aventura Hospital and Medical Center,948
5256,5419,2016,Bailey's Inc.,15000
5373,5547,2005,Bank of America,18000
1360,1086,2011,Bank of America,300
1542,1271,2018,Bank of the West,500
6459,6721,2016,Banner Health,3620000
4087,4110,2018,Baptist Health,3453
3251,3185,2012,Baptist Health System,1655
1732,1473,2017,Baptist Medical Center South,531
3247,3180,2010,Baylor College of Medicine,1646
6258,6512,2015,Beacon Health System,306789
3391,3337,2014,Beebe Medical Center,1883
319,198,2018,Bell Canada,100000
4193,4226,2012,Beth Israel Deaconess Medical Center,3900
6018,6258,2012,Bethpage Federal Credit Union,86000
6066,6310,2009,Binghamton University,100000
5120,5270,2010,Blue Cross & Blue Shield of Rhode Island,12000
3364,3309,2017,Blue Cross Blue Shield of Massachusetts,1843
2122,1905,2013,Blue Cross and Blue Shield of North Carolina,687
6155,6402,2005,Boeing,161000
5719,5929,2017,Boeing,36000
6147,6393,2014,Boxee,158128
2667,2516,2016,Brigham and Women's Hospital,1009
2577,2421,2014,Brigham and Women's Hospital,999
5044,5187,2013,Bronx Lebanon Hospital Center,10930
2919,2802,2010,Brooke Army Medical Center,1272
4454,4521,2007,Brunswick Corp.,5100
4091,4114,2011,CVS Caremark,3482
4295,4342,2013,CVS Caremark,4305
5151,5305,2015,CVS Health,12914
2198,1989,2017,CVS Health,724
2594,2438,2007,CVS Pharmacy,1000
2088,1868,2008,Cal Poly Pomona,675
5940,6171,2009,CalOptima,68000
6294,6550,2016,California Correctional Health Care Services,400000
2653,2502,2013,California Correctional Health Care Services,1001
5475,5660,2005,California Department of Health Services,21600
3779,3765,2010,California Department of Public Health,2550
4866,4986,2011,California Department of Public Health (CDPH),9000
2904,2786,2010,California Therapy Solutions,1250
4022,4037,2011,Cancer Care Northwest,3150
6307,6563,2019,"CareCentrix, Inc.",467621
6398,6657,2015,CareFirst BlueCross BlueShield,1100000
2600,2444,2008,Cedars-Sinai Medical Center,1000
5097,5247,2011,Centra,11982
4276,4321,2015,"Central Brooklyn Medical Group, PC",4223
6089,6335,2013,Central Hudson Gas & Electric,110000
2243,2044,2012,Central States Southeast and Southwest Areas Health and Welfare Fund,754
5757,5970,2007,Chicago Public Schools,40000
4167,4195,2010,Children's Medical Center of Dallas,3800
4511,4581,2017,Children's Mercy Hospital,5511
5380,5554,2015,Children's National Medical Center,18000
6157,6405,2005,ChoicePoint,163000
4106,4130,2018,Cigna,3500
6279,6534,2011,Citibank,360000
1706,1445,2007,Citigroup,519
6136,6382,2013,Citigroup,146000
6329,6588,2010,Citigroup,600000
241,117,2013,Citigroup,150000
534,232,2006,Citigroup,11
5440,5622,2007,City University of New York,20000
2262,2064,2005,City University of New York,771
4692,4789,2010,City University of New York,7000
4076,4099,2017,City of Hope,3400
4300,4347,2012,"Clearpoint Design, Inc.",4343
2558,2402,2014,"Clinical Reference Laboratory, Inc.",979
5663,5869,2013,"Cogent Healthcare, Inc.",32000
6077,6322,2010,Colorado Department of Health Care Policy and Financing,105470
4123,4149,2011,Colorado Department of Health Care Policy and Financing,3589
4417,4478,2008,Columbia University,5000
3039,2946,2009,Columbia University,1400
4100,4123,2012,Columbia University,3500
6326,6585,2015,Comcast,590000
4237,4275,2009,Comcast,4000
1353,1079,2012,Comcast,294
6283,6538,2016,Community Health Plan of Washington,381504
6467,6730,2014,Community Health Systems,4500000
6094,6340,2016,Community Mercy Health Partners,113528
685,391,2018,Community health network,25
4403,4464,2010,Connecticut Department of Labor,5000
5496,5682,2014,Cook County Health & Hospitals System,22511
2204,1996,2017,Cook County Health & Hospitals System,727
1246,969,2006,Cornell University,210
3483,3438,2012,Cornell University,2000
2456,2280,2005,Cornell University,900
5808,6024,2009,Cornell University,45277
5675,5882,2010,County of Los Angeles,33000
2070,1848,2011,County of Los Angeles,667
2441,2264,2015,County of Los Angeles,880
6053,6294,2013,"Crescent Health Inc., Walgreens",100000
466,160,2017,Deaconess hospital,4
2979,2871,2018,Dean Health Plan,1311
4274,4319,2019,Delta Dental of Illinois,4216
6224,6475,2017,Department of Homeland Security,246167
6181,6429,2013,Digital Archive Management,189489
6527,6793,2012,Dropbox,68000000
5046,5190,2014,Duke University Health System,10993
3739,3723,2010,Eastern Bank,2499
3035,2941,2007,Eastern Illinois University,1400
4873,4993,2009,Eastern Illinois University,9000
6453,6715,2010,Educational Credit Management Corporation,3300000
6002,6240,2016,Emblem Health - GHI,81122
5514,5704,2017,Emory Healthcare,24000
6264,6518,2012,Emory Healthcare,315000
3704,3681,2011,Emory Healthcare,2400
5346,5515,2012,Equifax,17000
753,462,2010,Equifax,35
3741,3725,2006,Equifax,2500
6522,6788,2013,Evernote,50000000
6550,6816,2018,Exactis,340000000
373,50,2018,Exam one,1
6499,6765,2015,Experian,15000000
317,196,2018,Facebook,50000000
6480,6745,2013,Facebook,6000000
6533,6799,2008,Facebook,80000000
6100,6346,2017,FedEx,119000
2216,2011,2016,Fidelis Care,738
1419,1147,2017,Fidelity Investments,348
6182,6431,2006,Fidelity Investments,196000
6055,6296,2012,Florida Department of Children and Families,100000
3731,3714,2014,Florida Department of Health,2477
3653,3627,2013,Florida Department of Health,2300
6056,6297,2013,Florida Department of Juvenile Justice,100000
4143,4171,2013,Florida Healthy Kids Corporation,3667
3495,3450,2017,Florida Healthy Kids Corporation,2000
5116,5266,2011,Florida Hospital,12000
6300,6556,2012,Formspring,420000
4824,4941,2014,Franciscan Medical Group,8300
467,161,2013,Franciscan health indianapolis,4
4900,5024,2006,Frost Bank,9300
6449,6711,2012,Gamigo,3000000
6357,6616,2007,Gap Inc.,800000
6407,6667,2010,Gawker,1300000
5770,5984,2006,Georgetown University,41000
5502,5689,2006,Georgetown University Hospital,23000
3711,3689,2010,Georgetown University Hospital,2416
6322,6581,2006,Georgia Technology Authority (GTA),573000
2785,2650,2018,Gordon Schanzlin New Vision Institute,1130
6071,6315,2006,Greenville County School District,101000
3320,3262,2013,Group Health Incorporated,1771
2314,2125,2014,Group Health Incorporated,802
1722,1462,2007,Hartford Life Insurance Company,526
4649,4738,2008,Harvard University,6600
2532,2369,2015,Haywood County NC,955
1669,1406,2011,Health Care Service Corporation,501
1668,1405,2012,Health Care Service Corporation,501
6414,6674,2009,Health Net,1500000
4412,4473,2008,Health Net,5000
619,321,2010,Health Net,18
5289,5452,2013,Henry Ford Health System,15417
3866,3856,2012,Henry Ford Health System,2777
4150,4178,2010,Henry Ford Health System,3700
3669,3645,2015,Henry Ford Health System,2336
1883,1636,2017,Henry Ford Health System,596
4152,4180,2010,Henry Ford Hospital,3700
4945,5074,2013,Holy Cross Hospital,9900
3165,3087,2010,Holy Cross Hospital,1500
1239,962,2007,Home Depot,204
6251,6505,2008,Horizon Blue Cross Blue Shield,300000
6367,6626,2014,"Horizon Healthcare Services, Inc., doing business as Horizon Blue Cross Blue Shield of New Jersey, and its affiliates",839711
2017,1786,2016,Hospital for Special Surgery,647
2500,2332,2014,Hospital for Special Surgery,937
3008,2906,2017,Houston Methodist Hospital,1359
2993,2887,2014,Houston Methodist Hospital,1341
5340,5508,2006,Humana,17000
3932,3934,2014,Humana,2962
3871,3863,2015,Humana,2800
2414,2234,2019,Humana Inc,863
4538,4610,2017,Humana Inc,5764
4530,4601,2012,Humboldt State University,5700
6427,6688,2011,IBM,1900000
6509,6775,2016,IRS,28200000
4011,4022,2013,Illinois Department of Healthcare and Family Services,3100
6137,6383,2014,Indiana University,146000
