,Year of Breach,Total Records,Company Name
317,2018,50000000,Facebook
6480,2013,6000000,Facebook
6533,2008,80000000,Facebook
5359,2013,17350,Walgreen Co.
2796,2015,1138,Walgreen Co.
4334,2017,4500,Walgreen Co.
2438,2016,880,Walgreen Co.
2895,2012,1240,Walgreen Co.
173,2010,114000,AT&T
3566,2009,2100,AT&T
460,2014,3,AT&T
5113,2017,12000,Aetna
4625,2010,6372,Aetna
5931,2009,65000,Aetna
1706,2007,519,Citigroup
6136,2013,146000,Citigroup
6329,2010,600000,Citigroup
241,2013,150000,Citigroup
534,2006,11,Citigroup
