,Year of Breach,Company Name,City,State,Date Made Public,Type of Organization,Total Records,Description of Incident,Information Source
1,2012,"SF Fire Credit Union, Pacifica-Coastside Credit Union",San Francisco,California,1/4/2012,BSF,0,"The December 29, 2011 theft of a laptop from a parked car in San Francisco resulted in the loss of personal information.  The information was being used in preparation for a merger between SF Fire Credit Union and Pacifica-Coastside Credit Union.  Current and former account holders had their names, Social Security numbers, dates of birth, addresses, and Pacifica-Coastside Credit Union account information.",California Attorney General
2,2012,"BDO USA, Rubio's Restaurants, Inc.",San Diego,California,2/18/2012,BSR,0,"BDO was contracted by Rubio's to perform financial auditing services.  A BDO employee accidentally removed one or more CD-ROMs from the office.  The CD-ROM or CD-ROMs contained a list of Rubio's workers' compensation claimants and a list of people who owned equity shares in Rubio's Restaurants, Inc.  The CD-ROM or CD-ROMS appear to have been stolen from the BDO employee's vehicle.  The workers' compensation information contained names, claim numbers, medical status, and date of loss.  The medical status information included the employees' claim for injuries or illnesses.  No Social Security numbers were involved.  The partial equity roll list contained names and Social Security numbers.",California Attorney General
3,2012,"DHI Mortgage Company, Ltd.",Austin,Texas,2/22/2012,BSF,0,"On February 10, 2012, DHI Mortgage became aware that a software security breach by external sources had occurred in its Internet Loan Prequalification System.  DHI Mortgage immediately isolated the affected server, purged certain affected files, and modified the electronic security measures.  People who provided their information online for pre-qualification may have had their names, Social Security numbers, dates of birth, contact information, marital status, employment information, income, asset information, and liability information exposed.",California Attorney General
4,2012,"Impairment Resources, LLC",San Diego,California,3/12/2012,MED,"14,000","An office burglary on New Year's Eve 2011 resulted in the loss of hardware that contained sensitive personal information.  The full names, addresses, Social Security numbers, and medical information of clients were on the hardware.  Impairment Resources notified patients in February and then filed for bankruptcy in March. The high cost of handling the breach led directly to the decision to file for bankruptcy.",California Attorney General
5,2012,"RJL Insurance Services, LLC, RJL Wealth Management",San Diego,California,3/14/2012,BSF,0,"RJL Insurance Services became aware of a vulnerability in its computer network that may have resulted in the exposure of some electronic files.  The information was secured, but some RJL files were accessible for a period of two weeks in late September and early October of 2011.  Client names, Social Security numbers, driver's license numbers, and medical conditions may have been exposed.  ",California Attorney General
6,2012,Kaiser Foundation Health Plan,Oakland,California,3/19/2012,MED,"30,000","Someone purchased a hard drive in September of 2011 and immediately notified law enforcement that it contained confidential information.  The external hard drive did not come from a Kaiser Permanente office.  It contained employee data that was as recent as 2009.  Current and former employees may have had their names, Social Security numbers, dates of birth, and addresses exposed. There is no evidence that the information from the hard drive was used for illegal purposes as of March of 2012.UPDATE (3/22/2012): The external hard drive was purchased at a thrift store.  Phone numbers, pay stubs, COBRA Error, Trust Fund Paid Hours, or Fidelity Savings Plan Deduction reports may have also been on the hard drive.UPDATE (4/16/2012): At least one source lists the total number of affected current and former employees as 30,000.UPDATE (2/4/2014): Attorney General Kamala Harris has agreed to drop a data breach lawsuit against the Oakland based managed care provider, Kaiser, if they agreed to a $150,000 fine paid to the state and improved their information handling practices.Originally the suite contended that the health care provider violated the three-month notification law. Kaiser learned of the violation in December 2011 but did not send letters to 20,539 affected Californians until mid-March 2012. The law requires data-holders disclose any breach ""in the most expedient time possible and without unreasonable delay"".  ",California Attorney General
7,2012,"IndyMac Bank, IndyMac Resources, Inc.",Dallas,Texas,3/19/2012,BSF,0,"A security company searching the web for sensitive data uncovered personally identifiable information from IndyMac Bank and Indy Mac Resources employees, and possibly others associated with the firms.  IndyMac Bank failed sometime around July of 2008.  The information is related to IndyMac employee pension benefits analysis and appears to have been placed on a public web server by an employee of a contractor for IndyMac.  People who were employed by either IndyMac firm between January 1, 1999 and January 1, 2005 had their names, Social Security numbers, dates of birth, earnings, hire dates, and other employment related information exposed.  It was available as early as January of 2007 and as recently as December of 2011.  ",California Attorney General
8,2012,Manhattan Prep,New York,New York,3/23/2012,BSR,0,"A hacker was able to access the names, mailing addresses, email addresses, dates of birth, usernames, passwords, phone numbers, and credit card details of customers.  The breach occurred and was detected on Sunday, March 25.  Manhattan Prep removed all credit card information previously associated with compromised customer accounts from their database.  Customer account passwords were automatically reset.  Customers were also encouraged to change any passwords that were used for both Manhattan Prep and other accounts.  ",California Attorney General
9,2012,St. Joseph's Medical Center,Stockton,California,3/31/2012,MED,712,"A storeroom window at Saint Joseph's HealthCare Clinical Laboratory (HCCL) was discovered broken on February 2, 2012.  Two storage boxes containing HCCL lab requisition forms were missing from the center.  People who received laboratory services between October 24, 2011 and November 18, 2011, between December 13, 2012 and January 5, 2012, and also between January 17, 2012 and January 31, 2012, may have had their names, Social Security numbers, phone numbers, addresses, and insurance information exposed.UPDATE (4/26/2012): At least 700 patients were affected.  Two boxes were discovered missing immediately after the robbery and a third was discovered missing on March 16.",California Attorney General
10,2012,Sacramento Area Fire Fighters Local 522,Sacramento,California,3/31/2012,BSO,0,"On or around March 6, a spreadsheet containing the names and contact information of active and retired Local 522 members was sent by a Local 522 employee to the Sacramento Central Labor Council (CLC).  The spreadsheet contained member Social Security numbers, but was only supposed to provide member mailing addresses.  The email did not stop at CLC and was forwarded to Capitol Mailing, Inc.  The mistake was discovered on March 23 after Local 522 members received mailing labels that displayed their Social Security numbers.  ",California Attorney General
