Date,Close
2013-01-04,26.48
2013-01-11,26.58
2013-01-18,27.13
2013-01-25,27.7
2013-02-01,28.64
2013-02-08,29.47
2013-02-15,31.07
2013-02-22,31.36
2013-03-01,31.58
2013-03-08,32.03
2013-03-15,32.57
2013-03-22,32.36
2013-03-28,32.3
2013-04-05,28.76
2013-04-12,29.18
2013-04-19,27.97
2013-04-26,28.91
2013-05-03,30.46
2013-05-10,30.5
2013-05-17,31.26
2013-05-24,30.72
2013-05-31,31.46
2013-06-07,32.88
2013-06-14,32.6
2013-06-21,32.57
2013-06-28,32.79
2013-07-05,33.3
2013-07-12,34.3
2013-07-19,33.89
2013-07-26,32.92
2013-08-02,32.98
2013-08-09,31.91
2013-08-16,30.79
2013-08-23,30.83
2013-08-30,29.86
2013-09-06,30.51
2013-09-13,31.25
2013-09-20,32.08
2013-09-27,32.2
2013-10-04,32.9
2013-10-11,33.17
2013-10-18,34.15
2013-10-25,35.7
2013-11-01,35.3
2013-11-08,35.93
2013-11-15,37.08
2013-11-22,39.61
2013-11-29,39.29
2013-12-06,38.88
2013-12-13,38.55
2013-12-20,39.96
2013-12-27,39.92
2014-01-03,39.78
2014-01-10,39.92
2014-01-17,39.72
2014-01-24,37.6
2014-01-31,38.15
2014-02-07,37.54
2014-02-14,38.72
2014-02-21,38.93
2014-02-28,38.39
2014-03-07,40.79
2014-03-14,39.33
2014-03-21,37.54
2014-03-28,36.72
2014-04-04,36.3
2014-04-11,34.77
2014-04-17,35.01
2014-04-25,36.05
2014-05-02,36.85
2014-05-09,36.37
2014-05-16,36.06
2014-05-23,36.45
2014-05-30,37.9
2014-06-06,37.61
2014-06-13,36.73
2014-06-20,37.78
2014-06-27,38.24
2014-07-03,39.94
2014-07-11,39.11
2014-07-18,40.99
2014-07-25,42.36
2014-08-01,41.97
2014-08-08,41.63
2014-08-15,42.12
2014-08-22,42.77
2014-08-29,43.47
2014-09-05,43.12
2014-09-12,43.86
2014-09-19,43.9
2014-09-26,42.39
2014-10-03,42.74
2014-10-10,41.36
2014-10-17,40.16
2014-10-24,40.88
2014-10-31,43.26
2014-11-07,43.88
2014-11-14,43.78
2014-11-21,44.1
2014-11-28,44.91
2014-12-05,45.68
2014-12-12,46.11
2014-12-19,48.69
2014-12-26,48.7
2015-01-02,47.86
2015-01-09,48.5
2015-01-16,46.29
2015-01-23,46.56
