Date Made Public,Company,City,State,Type of breach,Type of organization,Total Records,Description of incident,Information Source,Source URL,Year of Breach,Latitude,Longitude,,,
1/24/2018,Gourmesso,,Maine,CARD,BSR,1,Discover Card account information of 1 Maine citizen breached. ,Government Agency,http://www.maine.gov/ag/consumer/identity_theft/,2017,37.09024,-95.712891,,,
1/10/2018,State of Indiana,,,UNKN,GOV,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2017,0,0,,,
1/11/2018,Community Physicians of indiana inc,,,UNKN,MED,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2017,0,0,,,
1/12/2018,Exam one,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2017,0,0,,,
1/19/2018,Employ indy,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
1/26/2018,Kindred hospital northwest,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
2/2/2018,Morgan stanley smith barney llc,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
2/12/2018,Family& social services administration,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
2/14/2018,Kingston healthcare company,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
2/15/2018,Community health network,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2017,0,0,,,
2/15/2018,Deaconess hospital,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
2/21/2018,Indiana university,,Indiana,UNKN,EDU,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
2/21/2018,Family& social services administration,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
3/2/2018,R m h franchise holdings inc,,,UNKN,BSF,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2017,0,0,,,
3/6/2018,The vanguard group inc,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
3/9/2018,Prudential insurance companyof america,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
3/12/2018,aNEWreality,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
3/14/2018,Prudential insurance companyof america,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
3/16/2018,KHI Solutions inc,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
3/16/2018,Indiana bureauof motor vehicles,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
3/20/2018,Indiana Bureau of Motor Vehicles,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
3/21/2018,Zenith american solutions,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
