Date,Close
1/4/2008,40.89
1/11/2008,38.2
1/18/2008,36.11
1/25/2008,35.26
2/1/2008,38.28
2/8/2008,36.37
2/15/2008,37.88
2/22/2008,34.98
2/29/2008,34.83
3/7/2008,35.01
3/14/2008,35.03
3/20/2008,36.85
3/28/2008,37.66
4/4/2008,38.48
4/11/2008,37.3
4/18/2008,37.51
4/25/2008,38.58
5/2/2008,40.13
5/9/2008,38.59
5/16/2008,40.07
5/23/2008,38.53
5/30/2008,39.9
6/6/2008,38.21
6/13/2008,36.68
6/20/2008,34.43
6/27/2008,32.76
7/3/2008,32.58
7/11/2008,32.58
7/18/2008,32.12
7/25/2008,31.4
8/1/2008,30.44
8/8/2008,30.97
8/15/2008,31.66
8/22/2008,31.17
8/29/2008,31.99
9/5/2008,31.5
9/12/2008,31.54
9/19/2008,30.43
9/26/2008,30
10/3/2008,28.12
10/10/2008,22.42
10/17/2008,25.29
10/24/2008,24.68
10/31/2008,26.77
11/7/2008,27
11/14/2008,27.65
11/21/2008,25.19
11/28/2008,28.56
12/5/2008,28.15
12/12/2008,28.18
12/19/2008,28.12
12/26/2008,27.94
1/2/2009,29.42
1/9/2009,26.68
1/16/2009,25.23
1/23/2009,26.12
1/30/2009,24.62
2/6/2009,26.08
2/13/2009,24.19
2/20/2009,23.58
2/27/2009,23.77
3/6/2009,22.58
3/13/2009,24.27
3/20/2009,25.33
3/27/2009,26
4/3/2009,26.83
4/9/2009,26.1
4/17/2009,25.95
4/24/2009,25.16
5/1/2009,26.01
5/8/2009,25.25
5/15/2009,24.88
5/22/2009,23.68
5/29/2009,24.79
6/5/2009,24.56
6/12/2009,25.01
6/19/2009,24.04
6/26/2009,24.82
7/3/2009,24.59
7/10/2009,23.44
7/17/2009,23.98
7/24/2009,25.45
7/31/2009,26.23
8/7/2009,25.62
8/14/2009,25.45
8/21/2009,26
8/28/2009,26.21
9/4/2009,25.51
9/11/2009,26.66
9/18/2009,27.05
9/25/2009,26.96
10/2/2009,26.52
10/9/2009,25.66
10/16/2009,25.7
10/23/2009,25.73
10/30/2009,25.67
11/6/2009,25.93
11/13/2009,26.25
11/20/2009,26.02
11/27/2009,26.99
12/4/2009,27.6
12/11/2009,28.01
12/18/2009,27.32
12/24/2009,28.1
12/31/2009,28.03
1/8/2010,27.1
1/15/2010,25.79
1/22/2010,25.39
1/29/2010,25.36
2/5/2010,25.24
2/12/2010,25.07
2/19/2010,25.1
2/26/2010,24.81
3/5/2010,24.99
3/12/2010,25.62
3/19/2010,26.24
3/26/2010,26.24
4/1/2010,26.11
4/9/2010,26.44
4/16/2010,25.93
4/23/2010,26.25
4/30/2010,26.06
5/7/2010,25.1
5/14/2010,25.4
5/21/2010,24.85
5/28/2010,24.3
6/4/2010,24.17
6/11/2010,25.29
6/18/2010,25.43
6/25/2010,24.79
7/2/2010,24.29
7/9/2010,24.83
7/16/2010,24.69
7/23/2010,25.54
7/30/2010,25.94
8/6/2010,26.54
8/13/2010,26.72
8/20/2010,26.45
8/27/2010,26.94
9/3/2010,27.44
9/10/2010,27.83
9/17/2010,28.17
9/24/2010,28.58
10/1/2010,28.81
10/8/2010,28.22
10/15/2010,28.33
10/22/2010,28.29
10/29/2010,28.52
11/5/2010,29.27
11/12/2010,28.46
11/19/2010,28.32
11/26/2010,27.93
12/3/2010,28.49
12/10/2010,28.89
12/17/2010,29.21
12/23/2010,29.2
12/31/2010,29.38
1/7/2011,28.85
1/14/2011,28.43
1/21/2011,28.33
1/28/2011,27.49
2/4/2011,27.97
2/11/2011,28.47
2/18/2011,28.57
2/25/2011,28.13
3/4/2011,27.92
3/11/2011,28.46
3/18/2011,27.94
3/25/2011,28.85
4/1/2011,30.62
4/8/2011,30.71
4/15/2011,30.65
4/21/2011,30.68
4/29/2011,31.12
5/6/2011,31.26
5/13/2011,31.41
5/20/2011,31.32
5/27/2011,31.29
6/3/2011,30.65
6/10/2011,30.34
6/17/2011,30.77
6/24/2011,30.44
7/1/2011,31.68
7/8/2011,31.14
7/15/2011,30.31
7/22/2011,30.32
7/29/2011,29.26
8/5/2011,28.93
8/12/2011,28.22
8/19/2011,27.99
8/26/2011,29.04
9/2/2011,28.05
9/9/2011,27.54
9/16/2011,28.94
9/23/2011,27.85
9/30/2011,28.52
10/7/2011,28.44
10/14/2011,29.17
10/21/2011,29.13
10/28/2011,29.74
11/4/2011,29.16
11/11/2011,29.42
11/18/2011,28.64
11/25/2011,27.41
12/2/2011,28.96
12/9/2011,29.03
12/16/2011,28.85
12/23/2011,29.87
12/30/2011,30.24
1/6/2012,29.68
1/13/2012,30.07
1/20/2012,30.51
1/27/2012,29.16
2/3/2012,29.95
2/10/2012,29.84
2/17/2012,30.01
2/24/2012,30.34
3/2/2012,30.87
3/9/2012,31.18
3/16/2012,31.59
3/23/2012,31.52
3/30/2012,31.23
4/5/2012,30.94
4/13/2012,30.54
4/20/2012,30.86
4/27/2012,32.67
5/4/2012,32.86
5/11/2012,33.59
5/18/2012,33.66
5/25/2012,33.69
6/1/2012,33.9
6/8/2012,34.55
6/15/2012,35.71
6/22/2012,35.17
6/29/2012,35.66
7/6/2012,35.44
7/13/2012,35.35
7/20/2012,35.29
7/27/2012,37.14
8/3/2012,37.58
8/10/2012,37.49
8/17/2012,37.17
8/24/2012,36.95
8/31/2012,36.64
9/7/2012,37.3
9/14/2012,37.26
9/21/2012,38.08
9/28/2012,37.7
10/5/2012,37.86
10/12/2012,35.63
10/19/2012,35.32
10/26/2012,34.63
11/2/2012,34.93
11/9/2012,33.54
11/16/2012,33.14
11/23/2012,34.36
11/30/2012,34.13
12/7/2012,33.74
12/14/2012,34.01
12/21/2012,33.67
12/28/2012,33.32
1/4/2013,35.23
1/11/2013,34.27
1/18/2013,33.44
1/25/2013,34.02
2/1/2013,35.51
2/8/2013,35.27
2/15/2013,35.36
2/22/2013,35.68
3/1/2013,36.01
3/8/2013,36.68
3/15/2013,36.43
3/22/2013,36.43
3/28/2013,36.69
4/5/2013,38.02
4/12/2013,38.59
4/19/2013,38.28
4/26/2013,37.04
5/3/2013,37.34
5/10/2013,37.36
5/17/2013,37.44
5/24/2013,36.75
5/31/2013,34.99
6/7/2013,35.45
6/14/2013,35.91
6/21/2013,34.47
6/28/2013,35.4
7/5/2013,35.83
7/12/2013,35.81
7/19/2013,35.81
7/26/2013,35.6
8/2/2013,35.77
8/9/2013,34.8
8/16/2013,34.18
8/23/2013,34.29
8/30/2013,33.83
9/6/2013,33.41
9/13/2013,34.32
9/20/2013,34.32
9/27/2013,33.98
10/4/2013,33.75
10/11/2013,34.2
10/18/2013,34.61
10/25/2013,35.19
11/1/2013,36.24
11/8/2013,35.17
11/15/2013,35.43
11/22/2013,35.42
11/29/2013,35.21
12/6/2013,34.53
12/13/2013,33.85
12/20/2013,34.3
12/27/2013,35.18
1/3/2014,34.8
1/10/2014,33.62
1/17/2014,33.7
1/24/2014,33.42
1/31/2014,33.32
2/7/2014,32.3
2/14/2014,33.15
2/21/2014,32.8
2/28/2014,31.93
3/7/2014,32.54
3/14/2014,32.49
3/21/2014,34.3
3/28/2014,35.07
4/4/2014,35.55
4/11/2014,35.2
4/17/2014,36.04
4/25/2014,34.49
5/2/2014,35.63
5/9/2014,36.44
5/16/2014,36.74
5/23/2014,35.32
5/30/2014,35.47
6/6/2014,35.02
6/13/2014,35.03
6/20/2014,35.39
6/27/2014,35.41
7/3/2014,35.84
7/11/2014,35.76
7/18/2014,36.17
7/25/2014,35.54
8/1/2014,35.33
8/8/2014,34.47
8/15/2014,34.74
8/22/2014,34.5
8/29/2014,34.96
9/5/2014,35.15
9/12/2014,34.5
9/19/2014,35.47
9/26/2014,35.28
10/3/2014,35.36
10/10/2014,34.25
10/17/2014,34.08
10/24/2014,33.87
10/31/2014,34.84
11/7/2014,34.91
11/14/2014,35.9
11/21/2014,35.28
11/28/2014,35.38
12/5/2014,33.94
12/12/2014,32.16
12/19/2014,33.54
12/26/2014,34.17
1/2/2015,33.87
1/9/2015,33.4
1/16/2015,33.8
1/23/2015,33.37
1/30/2015,32.92
2/6/2015,34.87
2/13/2015,34.66
2/20/2015,34.08
2/27/2015,34.56
3/6/2015,33.48
3/13/2015,32.76
3/20/2015,33.23
3/27/2015,32.75
4/2/2015,33.13
4/10/2015,32.77
4/17/2015,32.51
4/24/2015,34.01
5/1/2015,34.42
5/8/2015,33.69
5/15/2015,34.33
5/22/2015,34.71
5/29/2015,34.54
6/5/2015,34.57
6/12/2015,34.65
6/19/2015,34.99
6/26/2015,36.12
7/2/2015,35.73
7/10/2015,34.65
7/17/2015,35.01
7/24/2015,34.29
7/31/2015,34.74
8/7/2015,34.21
8/14/2015,34.05
8/21/2015,33.38
8/28/2015,33.29
9/4/2015,32.56
9/11/2015,32.72
9/18/2015,32.55
9/25/2015,32.33
10/2/2015,32.64
10/9/2015,33.14
10/16/2015,33.83
10/23/2015,33.74
10/30/2015,33.51
11/6/2015,33.16
11/13/2015,32.31
11/20/2015,33.66
11/27/2015,33.57
12/4/2015,34.11
12/11/2015,33.17
12/18/2015,33.6
12/24/2015,34.66
12/31/2015,34.41
1/8/2016,33.54
1/15/2016,33.99
1/22/2016,35.14
1/29/2016,36.06
2/5/2016,36.88
2/12/2016,36.47
2/19/2016,36.57
2/26/2016,37.13
3/4/2016,37.93
3/11/2016,38.36
3/18/2016,38.56
3/24/2016,38.88
4/1/2016,39.05
4/8/2016,38.5
4/15/2016,38.48
4/22/2016,38.07
4/29/2016,38.82
5/6/2016,38.99
5/13/2016,39.15
5/20/2016,38.45
5/27/2016,38.99
6/3/2016,39.21
6/10/2016,40.33
6/17/2016,40.73
6/24/2016,41.52
7/1/2016,43.47
7/8/2016,42.61
7/15/2016,42.89
7/22/2016,43.11
7/29/2016,43.29
8/5/2016,43.16
8/12/2016,43.28
8/19/2016,41.01
8/26/2016,40.68
9/2/2016,40.95
9/9/2016,39.71
9/16/2016,40.2
9/23/2016,41.28
9/30/2016,40.61
10/7/2016,38.87
10/14/2016,39.22
10/21/2016,37.49
10/28/2016,36.51
11/4/2016,36.5
11/11/2016,36.51
11/18/2016,37.56
11/25/2016,39.21
12/2/2016,38.61
12/9/2016,40.38
12/16/2016,41.67
12/23/2016,42.73
12/30/2016,42.53
1/6/2017,41.32
1/13/2017,40.96
1/20/2017,41.45
1/27/2017,42.01
2/3/2017,41.25
2/10/2017,41.38
2/17/2017,41.48
2/24/2017,42.36
3/3/2017,42.01
3/10/2017,42.35
3/17/2017,42.61
3/24/2017,41.68
3/31/2017,41.55
4/7/2017,40.59
4/13/2017,40.28
4/21/2017,39.93
4/28/2017,39.63
5/5/2017,38.56
5/12/2017,38.49
5/19/2017,38.24
5/26/2017,38.12
6/2/2017,38.87
6/9/2017,38.79
6/16/2017,38.96
6/23/2017,37.95
6/30/2017,37.73
7/7/2017,36.98
7/14/2017,36.3
7/21/2017,36.51
7/28/2017,39
8/4/2017,38.43
8/11/2017,38.1
8/18/2017,37.37
8/25/2017,37.99
9/1/2017,37.48
9/8/2017,35.59
9/15/2017,37.1
9/22/2017,38.59
9/29/2017,39.17
10/6/2017,38.59
10/13/2017,35.7
10/20/2017,35.54
10/27/2017,33.97
11/3/2017,33.3
11/10/2017,34.22
11/17/2017,34.51
11/24/2017,34.81
12/1/2017,36.5
12/8/2017,36.73
12/15/2017,38.24
12/22/2017,38.94
12/29/2017,38.88
1/5/2018,38.14
1/12/2018,36.9
1/19/2018,37.21
1/26/2018,37.82
2/2/2018,38.07
2/9/2018,36.05
2/16/2018,37.14
2/23/2018,36.72
3/2/2018,36.35
3/9/2018,37.05
3/16/2018,37
3/23/2018,34.7
3/29/2018,35.65
4/6/2018,35.63
4/13/2018,35.14
4/20/2018,34.67
4/27/2018,33.04
5/4/2018,32.14
5/11/2018,32.29
5/18/2018,32.05
5/25/2018,32.51
6/1/2018,32.47
6/8/2018,33.83
6/15/2018,33.15
6/22/2018,31.69
6/29/2018,32.11
7/6/2018,32.68
7/13/2018,31.67
7/20/2018,31.1
7/27/2018,31.08
8/3/2018,32.27
8/10/2018,32.26
8/17/2018,33.03
8/24/2018,32.64
8/31/2018,31.94
9/7/2018,32.12
9/14/2018,33.6
9/21/2018,33.78
9/28/2018,33.58
10/5/2018,33.99
10/12/2018,32.25
10/19/2018,32.87
10/26/2018,29.09
11/2/2018,30.52
11/9/2018,30.69
11/16/2018,30.29
11/23/2018,29.36
11/30/2018,31.24
12/7/2018,30.14
12/14/2018,30.22
12/21/2018,28.31
12/28/2018,28.46
