Date,Close
1/2/2008,48.23
1/3/2008,47.33
1/4/2008,44.64
1/7/2008,45.57
1/8/2008,43.52
1/9/2008,44.78
1/10/2008,46.02
1/11/2008,46.1
1/14/2008,46.55
1/15/2008,44.18
1/16/2008,40.86
1/17/2008,37.76
1/18/2008,37.45
1/22/2008,40.01
1/23/2008,41.5
1/24/2008,43.94
1/25/2008,42.98
1/28/2008,44.07
1/29/2008,45.49
1/30/2008,44.65
1/31/2008,46.27
2/1/2008,45.83
2/4/2008,45.67
2/5/2008,42.03
2/6/2008,40.16
2/7/2008,40.08
2/8/2008,40.77
2/11/2008,41.11
2/12/2008,41.75
2/13/2008,42.21
2/14/2008,42.24
2/15/2008,41.47
2/19/2008,41.47
2/20/2008,39.1
2/21/2008,39.96
2/22/2008,40.4
2/25/2008,40.59
2/26/2008,41.1
2/27/2008,41.58
2/28/2008,42.87
2/29/2008,41.51
3/3/2008,40.27
3/4/2008,39.58
3/5/2008,40.36
3/6/2008,38.79
3/7/2008,37.79
3/10/2008,35.86
3/11/2008,39.09
3/12/2008,38.73
3/13/2008,40.47
3/14/2008,38.63
3/17/2008,36.06
3/18/2008,39.49
3/19/2008,37.9
3/20/2008,39.68
3/24/2008,41.36
3/25/2008,41.7
3/26/2008,41.67
3/27/2008,39.4
3/28/2008,38.79
3/31/2008,38.66
4/1/2008,41.08
4/2/2008,41.69
4/3/2008,41.35
4/4/2008,40.86
4/7/2008,40.52
4/8/2008,40.29
4/9/2008,39.33
4/10/2008,38.87
4/11/2008,38.15
4/14/2008,38.25
4/15/2008,38.62
4/16/2008,39.53
4/17/2008,41.2
4/18/2008,40.61
4/21/2008,39.68
4/22/2008,38.62
4/23/2008,37.37
4/24/2008,37.69
4/25/2008,36.85
4/28/2008,38.27
4/29/2008,38
4/30/2008,36.45
5/1/2008,37.47
5/2/2008,38.21
5/5/2008,38.01
5/6/2008,39.27
5/7/2008,39.62
5/8/2008,39.15
5/9/2008,38.31
5/12/2008,38.28
5/13/2008,37.71
5/14/2008,37.65
5/15/2008,37.99
5/16/2008,37.5
5/19/2008,36.27
5/20/2008,35.16
5/21/2008,33
5/22/2008,32.93
5/23/2008,33.62
5/27/2008,33.32
5/28/2008,33.99
5/29/2008,34.42
5/30/2008,35.03
6/2/2008,33.7
6/3/2008,33.29
6/4/2008,32.27
6/5/2008,33.15
6/6/2008,32.46
6/9/2008,32.13
6/10/2008,32.12
6/11/2008,31.57
6/12/2008,31.47
6/13/2008,32.3
6/16/2008,32.95
6/17/2008,32
6/18/2008,31.21
6/19/2008,31.4
6/20/2008,30.31
6/23/2008,29.31
6/24/2008,29.04
6/25/2008,30.45
6/26/2008,28.57
6/27/2008,28.28
6/30/2008,26.55
7/1/2008,26.07
7/2/2008,25.46
7/3/2008,24.94
7/7/2008,24.4
7/8/2008,25.34
7/9/2008,24.13
7/10/2008,23.7
7/11/2008,24.33
7/14/2008,24.17
7/15/2008,24.31
7/16/2008,27.24
7/17/2008,27.62
7/18/2008,27.49
7/21/2008,26.14
7/22/2008,29.25
7/23/2008,30.4
7/24/2008,27.77
7/25/2008,28.84
7/28/2008,26.78
7/29/2008,28.33
7/30/2008,28.12
7/31/2008,27.77
8/1/2008,27.2
8/4/2008,25.75
8/5/2008,26.42
8/6/2008,30.89
8/7/2008,31.4
8/8/2008,33.73
8/11/2008,33.48
8/12/2008,32.09
8/13/2008,32.12
8/14/2008,34.04
8/15/2008,34.38
8/18/2008,32.01
8/19/2008,31.44
8/20/2008,32.17
8/21/2008,30.98
8/22/2008,31.88
8/25/2008,30.98
8/26/2008,31.22
8/27/2008,31.49
8/28/2008,33.17
8/29/2008,32.69
9/2/2008,33.21
9/3/2008,33.36
9/4/2008,31.66
9/5/2008,32.22
9/8/2008,33.4
9/9/2008,31
9/10/2008,30.81
9/11/2008,31.29
9/12/2008,31.25
9/15/2008,28.75
9/16/2008,28.49
9/17/2008,28.76
9/18/2008,33.03
9/19/2008,38.8
9/22/2008,33.77
9/23/2008,33
9/24/2008,31.36
9/25/2008,32.2
9/26/2008,32.6
9/29/2008,29
9/30/2008,30.57
10/1/2008,32.55
10/2/2008,31.51
10/3/2008,31.42
10/6/2008,29.47
10/7/2008,27.58
10/8/2008,27
10/9/2008,24.75
10/10/2008,25.87
10/13/2008,30.03
10/14/2008,30.32
10/15/2008,26.75
10/16/2008,28.09
10/17/2008,30.99
10/20/2008,33.44
10/21/2008,33.09
10/22/2008,30.71
10/23/2008,30.11
10/24/2008,28.49
10/27/2008,26.58
10/28/2008,29.32
10/29/2008,30.56
10/30/2008,31.31
10/31/2008,32.46
11/3/2008,31.37
11/4/2008,33.29
11/5/2008,32.41
11/6/2008,28.56
11/7/2008,27.34
11/10/2008,26.16
11/11/2008,26.31
11/12/2008,23.55
11/13/2008,24.23
11/14/2008,21.9
11/17/2008,20.53
11/18/2008,19.65
11/19/2008,17.04
11/20/2008,15.76
11/21/2008,16.84
11/24/2008,18.87
11/25/2008,19.12
11/26/2008,21.56
11/28/2008,21.5
12/1/2008,18.8
12/2/2008,20.02
12/3/2008,20.45
12/4/2008,21.74
12/5/2008,23.35
12/8/2008,25.47
12/9/2008,25.41
12/10/2008,25.4
12/11/2008,23.8
12/12/2008,24.67
12/15/2008,23.3
12/16/2008,26.25
12/17/2008,25.07
12/18/2008,25.01
12/19/2008,24.54
12/22/2008,23.59
12/23/2008,23.03
12/24/2008,23.2
12/26/2008,23.28
12/29/2008,22.44
12/30/2008,23.64
12/31/2008,24.71
1/2/2009,26.13
1/5/2009,26.74
1/6/2009,25.82
1/7/2009,24.23
1/8/2009,22.44
1/9/2009,22
1/12/2009,21.05
1/13/2009,22.14
1/14/2009,20.75
1/15/2009,20.36
1/16/2009,21.17
1/20/2009,18.79
1/21/2009,21.16
1/22/2009,20.54
1/23/2009,21.98
1/26/2009,21.39
1/27/2009,21.82
1/28/2009,23.62
1/29/2009,22.11
1/30/2009,21.82
2/2/2009,20.47
2/3/2009,21.43
2/4/2009,22.08
2/5/2009,23.38
2/6/2009,24.9
2/9/2009,23.34
2/10/2009,22.17
2/11/2009,21.89
2/12/2009,22.05
2/13/2009,21.39
2/17/2009,20.02
2/18/2009,20.61
2/19/2009,20.3
2/20/2009,20.7
2/23/2009,19.77
2/24/2009,21.12
2/25/2009,20.96
2/26/2009,21.86
2/27/2009,20.9
3/2/2009,19.86
3/3/2009,18.67
3/4/2009,19.95
3/5/2009,18.79
3/6/2009,19.29
3/9/2009,19.77
3/10/2009,22.54
3/11/2009,23.57
3/12/2009,23.93
3/13/2009,22.27
3/16/2009,21.07
3/17/2009,22.48
3/18/2009,22.53
3/19/2009,21.11
3/20/2009,21.1
3/23/2009,23.82
3/24/2009,21.1
3/25/2009,20.97
3/26/2009,20.76
3/27/2009,19.8
3/30/2009,18.35
3/31/2009,19.58
4/1/2009,18.95
4/2/2009,19.96
4/3/2009,21.31
4/6/2009,20.76
4/7/2009,19.8
4/8/2009,20.4
4/9/2009,21.99
4/13/2009,22.53
4/14/2009,20.34
4/15/2009,19.62
4/16/2009,19.79
4/17/2009,19.8
4/20/2009,18.08
4/21/2009,18.49
4/22/2009,18.34
4/23/2009,18.94
4/24/2009,19.1
4/27/2009,18.72
4/28/2009,18.16
4/29/2009,18.76
4/30/2009,19.23
5/1/2009,19.36
5/4/2009,20.36
5/5/2009,20.1
5/6/2009,21.61
5/7/2009,20.04
5/8/2009,20.38
5/11/2009,19.3
5/12/2009,18.58
5/13/2009,17.63
5/14/2009,17.95
5/15/2009,17.88
5/18/2009,18.79
5/19/2009,17.91
5/20/2009,17.85
5/21/2009,18.78
5/22/2009,19.39
5/26/2009,20.83
5/27/2009,20.01
5/28/2009,20.76
5/29/2009,21.11
6/1/2009,20.8
6/2/2009,21.43
6/3/2009,21.19
6/4/2009,22.23
6/5/2009,22
6/8/2009,21.42
6/9/2009,22.05
6/10/2009,21.82
6/11/2009,22
6/12/2009,21.75
6/15/2009,21.13
6/16/2009,21.09
6/17/2009,20.44
6/18/2009,20.84
6/19/2009,21.17
6/22/2009,19.86
6/23/2009,20.2
6/24/2009,20.76
6/25/2009,21.11
6/26/2009,21.15
6/29/2009,21.45
6/30/2009,21.31
7/1/2009,20.69
7/2/2009,20.46
7/6/2009,19.92
7/7/2009,18.93
7/8/2009,19
7/9/2009,19.1
7/10/2009,18.92
7/13/2009,19.85
7/14/2009,19.52
7/15/2009,20.38
7/16/2009,20.1
7/17/2009,20.06
7/20/2009,20.09
7/21/2009,19.49
7/22/2009,19.5
7/23/2009,20.5
7/24/2009,20.34
7/27/2009,20.32
7/28/2009,20.25
7/29/2009,20.57
7/30/2009,21.18
7/31/2009,21.13
8/3/2009,21.46
8/4/2009,21.39
8/5/2009,21.66
8/6/2009,22
8/7/2009,22.87
8/10/2009,22.37
