Date,Close
2008-01-04,44.64
2008-01-11,46.1
2008-01-18,37.45
2008-01-25,42.98
2008-02-01,45.83
2008-02-08,40.77
2008-02-15,41.47
2008-02-22,40.4
2008-02-29,41.51
2008-03-07,37.79
2008-03-14,38.63
2008-03-20,39.68
2008-03-28,38.79
2008-04-04,40.86
2008-04-11,38.15
2008-04-18,40.61
2008-04-25,36.85
2008-05-02,38.21
2008-05-09,38.31
2008-05-16,37.5
2008-05-23,33.62
2008-05-30,35.03
2008-06-06,32.46
2008-06-13,32.3
2008-06-20,30.31
2008-06-27,28.28
2008-07-03,24.94
2008-07-11,24.33
2008-07-18,27.49
2008-07-25,28.84
2008-08-01,27.2
2008-08-08,33.73
2008-08-15,34.38
2008-08-22,31.88
2008-08-29,32.69
2008-09-05,32.22
2008-09-12,31.25
2008-09-19,38.8
2008-09-26,32.6
2008-10-03,31.42
2008-10-10,25.87
2008-10-17,30.99
2008-10-24,28.49
2008-10-31,32.46
2008-11-07,27.34
2008-11-14,21.9
2008-11-21,16.84
2008-11-28,21.5
2008-12-05,23.35
2008-12-12,24.67
2008-12-19,24.54
2008-12-26,23.28
2009-01-02,26.13
2009-01-09,22
2009-01-16,21.17
2009-01-23,21.98
2009-01-30,21.82
2009-02-06,24.9
2009-02-13,21.39
2009-02-20,20.7
2009-02-27,20.9
2009-03-06,19.29
2009-03-13,22.27
2009-03-20,21.1
2009-03-27,19.8
2009-04-03,21.31
2009-04-09,21.99
2009-04-17,19.8
2009-04-24,19.1
2009-05-01,19.36
2009-05-08,20.38
2009-05-15,17.88
2009-05-22,19.39
2009-05-29,21.11
2009-06-05,22
2009-06-12,21.75
2009-06-19,21.17
2009-06-26,21.15
2009-07-02,20.46
2009-07-10,18.92
2009-07-17,20.06
2009-07-24,20.34
2009-07-31,21.13
2009-08-07,22.87
2009-08-14,21.25
2009-08-21,20.84
2009-08-28,21.34
2009-09-04,20.82
2009-09-11,20.87
2009-09-18,22.62
2009-09-25,21.29
2009-10-02,19.75
2009-10-09,20.4
2009-10-16,19.71
2009-10-23,19.85
2009-10-30,18.06
2009-11-06,18.46
2009-11-13,18.92
2009-11-20,18.97
2009-11-27,18.78
2009-12-04,20.02
2009-12-11,19.66
2009-12-18,20
2009-12-24,20.46
2009-12-31,19.82
2010-01-08,20.23
2010-01-15,20.16
2010-01-22,18.34
2010-01-29,17.99
2010-02-05,18.8
2010-02-12,18.29
2010-02-19,18.63
2010-02-26,18.63
2010-03-05,20.03
2010-03-12,20.3
2010-03-19,21.03
2010-03-26,21.05
2010-04-01,21.15
2010-04-09,21.91
2010-04-16,21.4
2010-04-23,22.68
2010-04-30,21
2010-05-07,19.12
2010-05-14,19.64
2010-05-21,18.77
2010-05-28,18.59
2010-06-04,18.43
2010-06-11,19.15
2010-06-18,19.17
2010-06-25,18.89
2010-07-02,17.3
2010-07-09,18.2
2010-07-16,17.61
2010-07-23,18.63
2010-07-30,19.47
2010-08-06,20.21
2010-08-13,19.94
2010-08-20,19.51
2010-08-27,18.54
2010-09-03,19.19
2010-09-10,18.96
2010-09-17,19.43
2010-09-24,20.17
2010-10-01,19.3
2010-10-08,19.88
2010-10-15,19.91
2010-10-22,20.66
2010-10-29,21.11
2010-11-05,22.2
2010-11-12,21.51
2010-11-19,21.96
2010-11-26,21.51
2010-12-03,22.63
2010-12-10,22.84
2010-12-17,23.5
2010-12-23,23.82
2010-12-31,23.73
2011-01-07,23.38
2011-01-14,24.37
2011-01-21,24.3
2011-01-28,24.5
2011-02-04,26.56
2011-02-11,28.12
2011-02-18,29.09
2011-02-25,28.41
2011-03-04,28.02
2011-03-11,27.19
2011-03-18,24.79
2011-03-25,25.3
2011-04-01,28.23
2011-04-08,28.45
2011-04-15,28.21
2011-04-21,27.54
2011-04-29,27.12
2011-05-06,26.59
2011-05-13,26.91
2011-05-20,25.5
2011-05-27,25.37
2011-06-03,24.13
2011-06-10,23.8
2011-06-17,23.77
2011-06-24,23.39
2011-07-01,26.12
2011-07-08,25.37
2011-07-15,23.69
2011-07-22,24.2
2011-07-29,24.07
2011-08-05,22.79
2011-08-12,22.97
2011-08-19,21.2
2011-08-26,22.73
2011-09-02,22.56
2011-09-09,22.26
2011-09-16,25.27
2011-09-23,24.39
2011-09-30,23.14
2011-10-07,24.11
2011-10-14,25.46
2011-10-21,25.11
2011-10-28,25.69
2011-11-04,25.3
2011-11-11,26.51
2011-11-18,25.67
2011-11-25,24.55
2011-12-02,25.9
2011-12-09,25.52
2011-12-16,24.03
2011-12-23,24.69
2011-12-30,24.51
2012-01-06,24.43
2012-01-13,24.8
2012-01-20,25.34
2012-01-27,25.99
2012-02-03,25.07
2012-02-10,26
2012-02-17,26.81
2012-02-24,26.69
2012-03-02,26.11
2012-03-09,26.13
2012-03-16,26.61
2012-03-23,26.64
2012-03-30,25.9
2012-04-05,25.52
2012-04-13,24.57
2012-04-20,25.04
2012-04-27,25.14
2012-05-04,23.67
2012-05-11,23.36
2012-05-18,21.99
2012-05-25,22.06
2012-06-01,21.38
2012-06-08,22.12
2012-06-15,21.48
2012-06-22,21.77
2012-06-29,22.67
2012-07-06,22.22
2012-07-13,22.56
2012-07-20,22.37
2012-07-27,23.25
2012-08-03,22.96
2012-08-10,23.36
2012-08-17,23.59
2012-08-24,22.77
2012-08-31,22.87
2012-09-07,23.73
2012-09-14,24.47
2012-09-21,23.79
2012-09-28,23.29
2012-10-05,23.59
2012-10-12,23.26
2012-10-19,24.27
2012-10-26,23.77
2012-11-02,24.02
2012-11-09,23.59
2012-11-16,22.95
2012-11-23,23.78
2012-11-30,24.23
2012-12-07,23.71
2012-12-14,24.2
2012-12-21,25.49
2012-12-28,24.89
2013-01-04,26.48
2013-01-11,26.58
2013-01-18,27.13
2013-01-25,27.7
2013-02-01,28.64
2013-02-08,29.47
2013-02-15,31.07
2013-02-22,31.36
2013-03-01,31.58
2013-03-08,32.03
2013-03-15,32.57
2013-03-22,32.36
2013-03-28,32.3
2013-04-05,28.76
2013-04-12,29.18
2013-04-19,27.97
2013-04-26,28.91
2013-05-03,30.46
2013-05-10,30.5
2013-05-17,31.26
2013-05-24,30.72
2013-05-31,31.46
2013-06-07,32.88
2013-06-14,32.6
2013-06-21,32.57
2013-06-28,32.79
2013-07-05,33.3
2013-07-12,34.3
2013-07-19,33.89
2013-07-26,32.92
2013-08-02,32.98
2013-08-09,31.91
2013-08-16,30.79
2013-08-23,30.83
2013-08-30,29.86
2013-09-06,30.51
2013-09-13,31.25
2013-09-20,32.08
2013-09-27,32.2
2013-10-04,32.9
2013-10-11,33.17
2013-10-18,34.15
2013-10-25,35.7
2013-11-01,35.3
2013-11-08,35.93
2013-11-15,37.08
2013-11-22,39.61
2013-11-29,39.29
2013-12-06,38.88
2013-12-13,38.55
2013-12-20,39.96
2013-12-27,39.92
2014-01-03,39.78
2014-01-10,39.92
2014-01-17,39.72
2014-01-24,37.6
2014-01-31,38.15
2014-02-07,37.54
2014-02-14,38.72
2014-02-21,38.93
2014-02-28,38.39
2014-03-07,40.79
2014-03-14,39.33
2014-03-21,37.54
2014-03-28,36.72
2014-04-04,36.3
2014-04-11,34.77
2014-04-17,35.01
2014-04-25,36.05
2014-05-02,36.85
2014-05-09,36.37
2014-05-16,36.06
2014-05-23,36.45
2014-05-30,37.9
2014-06-06,37.61
2014-06-13,36.73
2014-06-20,37.78
2014-06-27,38.24
2014-07-03,39.94
2014-07-11,39.11
2014-07-18,40.99
2014-07-25,42.36
2014-08-01,41.97
2014-08-08,41.63
2014-08-15,42.12
2014-08-22,42.77
2014-08-29,43.47
2014-09-05,43.12
2014-09-12,43.86
2014-09-19,43.9
2014-09-26,42.39
2014-10-03,42.74
2014-10-10,41.36
2014-10-17,40.16
2014-10-24,40.88
2014-10-31,43.26
2014-11-07,43.88
2014-11-14,43.78
2014-11-21,44.1
2014-11-28,44.91
2014-12-05,45.68
2014-12-12,46.11
2014-12-19,48.69
2014-12-26,48.7
2015-01-02,47.86
2015-01-09,48.5
2015-01-16,46.29
2015-01-23,46.56
2015-01-30,45.6
2015-02-06,49.24
2015-02-13,49.48
2015-02-20,50.94
2015-02-27,50.16
2015-03-06,50.19
2015-03-13,50.25
2015-03-20,50.44
2015-03-27,49.7
2015-04-02,50.11
2015-04-10,50.58
2015-04-17,48.68
2015-04-24,48.57
2015-05-01,49.05
2015-05-08,50.55
2015-05-15,51.19
2015-05-22,52.62
2015-05-29,51.75
2015-06-05,50.53
2015-06-12,50.74
2015-06-19,50.39
2015-06-26,49.7
2015-07-02,49.13
2015-07-10,50.48
2015-07-17,51.84
2015-07-24,51.89
2015-07-31,51.03
2015-08-07,52.93
2015-08-14,54.26
2015-08-21,51.55
2015-08-28,51.49
2015-09-04,50.3
2015-09-11,51.75
2015-09-18,50.47
2015-09-25,53.48
2015-10-02,52.63
2015-10-09,53.09
2015-10-16,54.97
2015-10-23,58.72
2015-10-30,57.89
2015-11-06,58.24
2015-11-13,56.59
2015-11-20,59.97
2015-11-27,58.87
2015-12-04,58.94
2015-12-11,54.86
2015-12-18,55.93
2015-12-24,57.99
2015-12-31,58.17
2016-01-08,55.81
2016-01-15,56.49
2016-01-22,57.73
2016-01-29,62
2016-02-05,59.4
2016-02-12,61.31
2016-02-19,62.93
2016-02-26,63.85
2016-03-04,64.94
2016-03-11,65.98
2016-03-18,64.51
2016-03-24,64.02
2016-04-01,66.09
2016-04-08,63.65
2016-04-15,64.44
2016-04-22,63.99
2016-04-29,61.71
2016-05-06,64.03
2016-05-13,63.68
2016-05-20,63.62
2016-05-27,65.67
2016-06-03,65.07
2016-06-10,65.58
2016-06-17,63.88
2016-06-24,63
2016-07-01,64.77
2016-07-08,65.88
2016-07-15,67.51
2016-07-22,67.79
2016-07-29,70.76
2016-08-05,71.18
2016-08-12,70.15
2016-08-19,70.44
2016-08-26,70.49
2016-09-02,71.67
2016-09-09,68.98
2016-09-16,69.47
2016-09-23,69.46
2016-09-30,67.54
2016-10-07,67.03
2016-10-14,67.24
2016-10-21,66.18
2016-10-28,64.09
2016-11-04,64.68
2016-11-11,66.44
2016-11-18,65.85
2016-11-25,65.69
2016-12-02,63.88
2016-12-09,68.62
2016-12-16,68.06
2016-12-23,67.17
2016-12-30,67.12
2017-01-06,68.46
2017-01-13,67.71
2017-01-20,67.36
2017-01-27,68.36
2017-02-03,70.34
2017-02-10,69.77
2017-02-17,71.51
2017-02-24,71.45
2017-03-03,71.09
2017-03-10,70.96
2017-03-17,70.88
2017-03-24,69.85
2017-03-31,69.45
2017-04-07,69.22
2017-04-13,68.11
2017-04-21,69.91
2017-04-28,68.87
2017-05-05,67.91
2017-05-12,67.55
2017-05-19,67.44
2017-05-26,67.58
2017-06-02,67.5
2017-06-09,70.54
