Date,NDAQ2,C
2013-06-20,32.75,47.9
2013-06-21,32.57,46.87
2013-06-24,31.85,45.44
2013-06-25,32.35,47.0
2013-06-26,32.42,47.61
2013-06-27,32.86,48.28
2013-06-28,32.79,47.97
2013-07-01,33.11,48.25
2013-07-02,33.06,48.15
2013-07-03,32.72,47.67
2013-07-05,33.3,48.53
2013-07-08,33.14,49.52
2013-07-09,33.24,50.21
2013-07-10,33.27,49.63
2013-07-11,34.12,50.04
2013-07-12,34.3,50.81
2013-07-15,34.14,51.81
2013-07-16,33.78,51.83
2013-07-17,33.67,51.79
2013-07-18,34.14,52.69
2013-07-19,33.89,52.35
2013-07-22,33.76,53.0
2013-07-23,33.84,52.88
2013-07-24,32.81,52.19
2013-07-25,33.23,52.66
2013-07-26,32.92,52.21
2013-07-29,33.01,51.64
2013-07-30,32.46,51.78
2013-07-31,32.4,52.14
2013-08-01,33.2,52.86
2013-08-02,32.98,53.0
2013-08-05,32.61,52.87
2013-08-06,32.53,51.48
2013-08-07,32.24,51.5
2013-08-08,32.31,51.78
2013-08-09,31.91,51.32
2013-08-12,31.96,50.9
2013-08-13,31.91,51.77
2013-08-14,31.96,51.59
