Date,Close
2008-01-04,40.89
2008-01-11,38.2
2008-01-18,36.11
2008-01-25,35.26
2008-02-01,38.28
2008-02-08,36.37
2008-02-15,37.88
2008-02-22,34.98
2008-02-29,34.83
2008-03-07,35.01
2008-03-14,35.03
2008-03-20,36.85
2008-03-28,37.66
2008-04-04,38.48
2008-04-11,37.3
2008-04-18,37.51
2008-04-25,38.58
2008-05-02,40.13
2008-05-09,38.59
2008-05-16,40.07
2008-05-23,38.53
2008-05-30,39.9
2008-06-06,38.21
2008-06-13,36.68
2008-06-20,34.43
2008-06-27,32.76
2008-07-03,32.58
2008-07-11,32.58
2008-07-18,32.12
2008-07-25,31.4
2008-08-01,30.44
2008-08-08,30.97
2008-08-15,31.66
2008-08-22,31.17
2008-08-29,31.99
2008-09-05,31.5
2008-09-12,31.54
2008-09-19,30.43
2008-09-26,30
2008-10-03,28.12
2008-10-10,22.42
2008-10-17,25.29
2008-10-24,24.68
2008-10-31,26.77
2008-11-07,27
2008-11-14,27.65
2008-11-21,25.19
2008-11-28,28.56
2008-12-05,28.15
2008-12-12,28.18
2008-12-19,28.12
2008-12-26,27.94
2009-01-02,29.42
2009-01-09,26.68
2009-01-16,25.23
2009-01-23,26.12
2009-01-30,24.62
2009-02-06,26.08
2009-02-13,24.19
2009-02-20,23.58
2009-02-27,23.77
2009-03-06,22.58
2009-03-13,24.27
2009-03-20,25.33
2009-03-27,26
2009-04-03,26.83
2009-04-09,26.1
2009-04-17,25.95
2009-04-24,25.16
2009-05-01,26.01
2009-05-08,25.25
2009-05-15,24.88
2009-05-22,23.68
2009-05-29,24.79
2009-06-05,24.56
2009-06-12,25.01
2009-06-19,24.04
2009-06-26,24.82
2009-07-03,24.59
2009-07-10,23.44
2009-07-17,23.98
2009-07-24,25.45
2009-07-31,26.23
2009-08-07,25.62
2009-08-14,25.45
2009-08-21,26
2009-08-28,26.21
2009-09-04,25.51
2009-09-11,26.66
2009-09-18,27.05
2009-09-25,26.96
2009-10-02,26.52
2009-10-09,25.66
2009-10-16,25.7
2009-10-23,25.73
2009-10-30,25.67
2009-11-06,25.93
2009-11-13,26.25
2009-11-20,26.02
2009-11-27,26.99
2009-12-04,27.6
2009-12-11,28.01
2009-12-18,27.32
2009-12-24,28.1
2009-12-31,28.03
2010-01-08,27.1
2010-01-15,25.79
2010-01-22,25.39
2010-01-29,25.36
2010-02-05,25.24
2010-02-12,25.07
2010-02-19,25.1
2010-02-26,24.81
2010-03-05,24.99
2010-03-12,25.62
2010-03-19,26.24
2010-03-26,26.24
2010-04-01,26.11
2010-04-09,26.44
2010-04-16,25.93
2010-04-23,26.25
2010-04-30,26.06
2010-05-07,25.1
2010-05-14,25.4
2010-05-21,24.85
2010-05-28,24.3
2010-06-04,24.17
2010-06-11,25.29
2010-06-18,25.43
2010-06-25,24.79
2010-07-02,24.29
2010-07-09,24.83
2010-07-16,24.69
2010-07-23,25.54
2010-07-30,25.94
2010-08-06,26.54
2010-08-13,26.72
2010-08-20,26.45
2010-08-27,26.94
2010-09-03,27.44
2010-09-10,27.83
2010-09-17,28.17
2010-09-24,28.58
2010-10-01,28.81
2010-10-08,28.22
2010-10-15,28.33
2010-10-22,28.29
2010-10-29,28.52
2010-11-05,29.27
2010-11-12,28.46
2010-11-19,28.32
2010-11-26,27.93
2010-12-03,28.49
2010-12-10,28.89
2010-12-17,29.21
2010-12-23,29.2
2010-12-31,29.38
2011-01-07,28.85
2011-01-14,28.43
2011-01-21,28.33
2011-01-28,27.49
2011-02-04,27.97
2011-02-11,28.47
2011-02-18,28.57
2011-02-25,28.13
2011-03-04,27.92
2011-03-11,28.46
2011-03-18,27.94
2011-03-25,28.85
2011-04-01,30.62
2011-04-08,30.71
2011-04-15,30.65
2011-04-21,30.68
2011-04-29,31.12
2011-05-06,31.26
2011-05-13,31.41
2011-05-20,31.32
2011-05-27,31.29
2011-06-03,30.65
2011-06-10,30.34
