Date,Close
2008-01-04,282.4
2008-01-11,285.6
2008-01-18,244.5
2008-01-25,266.4
2008-02-01,296.9
2008-02-08,260.3
2008-02-15,254.8
2008-02-22,251.2
2008-02-29,237.1
2008-03-07,209.1
2008-03-14,197.8
2008-03-20,225
2008-03-28,208.3
2008-04-04,240.8
2008-04-11,233.6
2008-04-18,251.1
2008-04-25,266
2008-05-02,263.9
2008-05-09,236.3
2008-05-16,231.2
2008-05-23,211.2
2008-05-30,218.9
2008-06-06,200.6
2008-06-13,204.8
2008-06-20,193
2008-06-27,172.5
2008-07-03,168.2
2008-07-11,161.9
2008-07-18,193.5
2008-07-25,188.5
2008-08-01,188.7
2008-08-08,193.9
2008-08-15,185.5
2008-08-22,181.4
2008-08-29,189.9
2008-09-05,190.7
2008-09-12,179.6
2008-09-19,206.5
2008-09-26,201.5
2008-10-03,183.5
2008-10-10,141.1
2008-10-17,148.8
2008-10-24,121.4
2008-10-31,136.5
2008-11-07,118.2
2008-11-14,95.2
2008-11-21,37.7
2008-11-28,82.9
2008-12-05,77.1
2008-12-12,77
2008-12-19,70.2
2008-12-26,67.3
2009-01-02,71.4
2009-01-09,67.5
2009-01-16,35
2009-01-23,34.7
2009-01-30,35.5
2009-02-06,39.1
2009-02-13,34.9
2009-02-20,19.5
2009-02-27,15
2009-03-06,10.3
2009-03-13,17.8
2009-03-20,26.2
2009-03-27,26.2
2009-04-03,28.5
2009-04-09,30.4
2009-04-17,36.5
2009-04-24,31.9
2009-05-01,29.7
2009-05-08,40.2
2009-05-15,34.8
2009-05-22,36.7
2009-05-29,37.2
2009-06-05,34.6
2009-06-12,34.7
2009-06-19,31.7
2009-06-26,30.3
2009-07-03,28.8
2009-07-10,25.9
2009-07-17,30.2
2009-07-24,27.3
2009-07-31,31.7
2009-08-07,38.5
2009-08-14,40.4
2009-08-21,47
2009-08-28,52.3
2009-09-04,48.5
2009-09-11,46.1
2009-09-18,42.6
2009-09-25,43.8
2009-10-02,45.2
2009-10-09,46.3
2009-10-16,45.9
2009-10-23,44.6
2009-10-30,40.9
2009-11-06,40.6
2009-11-13,40.5
2009-11-20,42
2009-11-27,40.6
2009-12-04,40.6
2009-12-11,39.5
2009-12-18,34
2009-12-24,33.5
2009-12-31,33.1
2010-01-08,35.9
2010-01-15,34.2
2010-01-22,32.5
2010-01-29,33.2
2010-02-05,32.2
2010-02-12,31.8
2010-02-19,34.2
2010-02-26,34
2010-03-05,35
2010-03-12,39.7
2010-03-19,39
2010-03-26,43.1
2010-04-01,41.8
2010-04-09,45.5
2010-04-16,45.6
2010-04-23,48.6
2010-04-30,43.7
2010-05-07,40
2010-05-14,39.8
2010-05-21,37.5
2010-05-28,39.6
2010-06-04,37.9
2010-06-11,38.8
2010-06-18,40.1
2010-06-25,39.4
2010-07-02,37.9
2010-07-09,40.4
2010-07-16,39
2010-07-23,40.2
2010-07-30,41
2010-08-06,40.6
2010-08-13,38.8
2010-08-20,37.5
2010-08-27,37.6
2010-09-03,39.1
2010-09-10,39.1
2010-09-17,39.5
2010-09-24,39.04
2010-10-01,40.9
2010-10-08,41.9
2010-10-15,39.5
2010-10-22,41.1
2010-10-29,41.7
2010-11-05,44.9
2010-11-12,42.9
2010-11-19,42.68
2010-11-26,41.1
2010-12-03,44.5
2010-12-10,47.7
2010-12-17,47
2010-12-23,46.8
2010-12-31,47.3
2011-01-07,49.4
2011-01-14,51.3
2011-01-21,48.9
2011-01-28,47.2
2011-02-04,48.2
2011-02-11,48.8
2011-02-18,49.1
2011-02-25,47
2011-03-04,45.4
2011-03-11,45.7
2011-03-18,45
2011-03-25,44.6
2011-04-01,44.5
2011-04-08,45.6
2011-04-15,44.2
2011-04-21,45.5
2011-04-29,45.9
2011-05-06,45.2
2011-05-13,41.53
2011-05-20,41.02
2011-05-27,40.97
2011-06-03,39.85
2011-06-10,37.92
2011-06-17,38.3
2011-06-24,39.59
2011-07-01,42.88
2011-07-08,42.03
2011-07-15,38.38
2011-07-22,40.26
2011-07-29,38.34
2011-08-05,33.44
2011-08-12,29.85
2011-08-19,26.77
2011-08-26,29.84
2011-09-02,28.4
2011-09-09,26.74
2011-09-16,28.99
2011-09-23,24.98
2011-09-30,25.62
2011-10-07,24.63
2011-10-14,28.4
2011-10-21,30.3
2011-10-28,34.16
2011-11-04,30.34
2011-11-11,29.33
2011-11-18,26.28
2011-11-25,23.63
2011-12-02,28.17
2011-12-09,28.77
2011-12-16,26.03
2011-12-23,27.46
2011-12-30,26.31
2012-01-06,28.55
2012-01-13,30.74
2012-01-20,29.64
2012-01-27,30.87
2012-02-03,33.54
2012-02-10,32.92
2012-02-17,32.92
2012-02-24,32.35
2012-03-02,34.1
2012-03-09,34.2
2012-03-16,36.69
2012-03-23,37.13
2012-03-30,36.55
2012-04-05,34.79
2012-04-13,33.41
2012-04-20,33.89
2012-04-27,33.5
2012-05-04,31.6
2012-05-11,29.35
2012-05-18,26.01
2012-05-25,26.47
2012-06-01,25.39
2012-06-08,27.77
2012-06-15,28.31
2012-06-22,27.99
2012-06-29,27.41
2012-07-06,26.36
2012-07-13,26.65
2012-07-20,25.87
2012-07-27,27.3
2012-08-03,27.4
2012-08-10,28.9
2012-08-17,29.03
2012-08-24,29.83
2012-08-31,29.71
2012-09-07,32.07
2012-09-14,34.79
2012-09-21,33.67
2012-09-28,32.72
2012-10-05,34.77
2012-10-12,34.75
2012-10-19,37.16
2012-10-26,36.6
2012-11-02,37.6
2012-11-09,35.93
2012-11-16,34.98
2012-11-23,36.03
2012-11-30,34.57
2012-12-07,37.64
2012-12-14,37.6
2012-12-21,39.49
2012-12-28,39.01
2013-01-04,42.43
2013-01-11,42.34
2013-01-18,41.66
2013-01-25,42.91
2013-02-01,43.02
2013-02-08,42.68
2013-02-15,43.84
2013-02-22,42.79
2013-03-01,42.11
2013-03-08,46.68
2013-03-15,47.26
2013-03-22,45.23
2013-03-28,44.24
2013-04-05,43.01
2013-04-12,44.78
2013-04-19,45.03
2013-04-26,46.92
2013-05-03,46.97
2013-05-10,48.75
2013-05-17,51.45
2013-05-24,50.52
2013-05-31,51.99
2013-06-07,51.6
2013-06-14,49.22
2013-06-21,46.87
2013-06-28,47.97
2013-07-05,48.53
2013-07-12,50.81
2013-07-19,52.35
2013-07-26,52.21
2013-08-02,53
2013-08-09,51.32
2013-08-16,50.35
2013-08-23,49.83
2013-08-30,48.33
2013-09-06,49.22
2013-09-13,50.49
2013-09-20,51.21
2013-09-27,48.89
2013-10-04,49.14
2013-10-11,49.22
2013-10-18,51.15
2013-10-25,50.06
2013-11-01,48.74
2013-11-08,49.94
2013-11-15,50.4
2013-11-22,52.41
2013-11-29,52.92
2013-12-06,51.49
2013-12-13,50.97
2013-12-20,52.21
2013-12-27,52.26
2014-01-03,53.4
2014-01-10,54.72
2014-01-17,52.27
2014-01-24,49.33
2014-01-31,47.43
2014-02-07,49.34
2014-02-14,49.52
2014-02-21,48.26
2014-02-28,48.63
2014-03-07,49.62
2014-03-14,46.88
2014-03-21,50.08
2014-03-28,47.25
2014-04-04,47.11
2014-04-11,45.68
2014-04-17,48.22
2014-04-25,47.75
2014-05-02,47.73
2014-05-09,46.99
2014-05-16,46.44
2014-05-23,47.29
2014-05-30,47.57
2014-06-06,48.93
2014-06-13,47.59
2014-06-20,47.34
2014-06-27,47.14
2014-07-03,48.24
2014-07-11,47
2014-07-18,49.56
2014-07-25,50.03
2014-08-01,48.1
2014-08-08,48.45
2014-08-15,48.72
2014-08-22,50.93
2014-08-29,51.65
2014-09-05,52.3
2014-09-12,52.38
2014-09-19,53.48
2014-09-26,52.49
2014-10-03,52.32
2014-10-10,50.11
2014-10-17,50.07
2014-10-24,51.8
2014-10-31,53.53
2014-11-07,53.75
2014-11-14,53.38
2014-11-21,53.66
2014-11-28,53.97
2014-12-05,56.08
2014-12-12,53.4
2014-12-19,54.01
2014-12-26,54.43
2015-01-02,54.26
2015-01-09,50.78
2015-01-16,47.61
2015-01-23,48.62
2015-01-30,46.95
2015-02-06,49.14
2015-02-13,51.2
2015-02-20,51.78
2015-02-27,52.42
2015-03-06,53.06
2015-03-13,53.54
2015-03-20,52.98
2015-03-27,51
2015-04-02,51.86
2015-04-10,52.43
2015-04-17,53.07
2015-04-24,52.9
2015-05-01,53.76
2015-05-08,54.02
2015-05-15,54.24
2015-05-22,54.97
2015-05-29,54.08
2015-06-05,56.24
2015-06-12,57.11
2015-06-19,56.23
2015-06-26,56.34
2015-07-02,55.37
2015-07-10,54.56
2015-07-17,58.75
2015-07-24,58.7
2015-07-31,58.46
2015-08-07,57.91
2015-08-14,57.59
2015-08-21,53.6
2015-08-28,53.28
2015-09-04,50.59
2015-09-11,51.1
2015-09-18,50.29
2015-09-25,50.55
2015-10-02,49.88
2015-10-09,51.38
2015-10-16,52.69
2015-10-23,53.64
2015-10-30,53.17
2015-11-06,55.87
2015-11-13,53.17
2015-11-20,54.75
2015-11-27,54.21
2015-12-04,55.09
2015-12-11,51.11
2015-12-18,51.21
2015-12-24,52.71
2015-12-31,51.75
2016-01-08,46.13
2016-01-15,42.47
2016-01-22,41.06
2016-01-29,42.58
2016-02-05,39.86
2016-02-12,37.54
2016-02-19,38.99
2016-02-26,39.5
2016-03-04,42.83
2016-03-11,42.99
2016-03-18,43.54
2016-03-24,41.94
2016-04-01,42.47
2016-04-08,40.47
2016-04-15,44.92
2016-04-22,46.97
2016-04-29,46.28
2016-05-06,44.41
2016-05-13,43.11
2016-05-20,44.9
2016-05-27,46.58
2016-06-03,45.39
2016-06-10,43.9
2016-06-17,42.48
2016-06-24,40.3
2016-07-01,42.17
2016-07-08,41.98
2016-07-15,44.33
2016-07-22,44.3
2016-07-29,43.81
2016-08-05,45.72
2016-08-12,45.58
2016-08-19,46.53
2016-08-26,47.11
2016-09-02,47.51
2016-09-09,47.17
